dataset,seed,ari,nmi,macro_f1,rare_cell_recall,gate_mean,gate_std,fraction_gate_lt_0.05_gmax,fraction_gate_gt_0.95_gmax,corr_gate_R,corr_gate_H,valid_edge_count_mean,no_valid_neighbor_rate,fallback_rate,effective_neighbor_count_mean,max_edge_weight_p95,median_TV_ratio_high_TV_genes,high_TV_compression_rate,run_dir
Macosko,42,0.3043044390437809,0.5744965285731964,0.4908627486777046,,0.0433462001383304,0.0364442393183708,0.2250937332619175,0.0876629173361899,0.9581922577522876,-0.7315404566673299,6.380891805034815,0.0,0.0658810926620246,3.452532291412353,0.847923994064331,0.8854824912143755,0.0,results/rc_nm_checkpoint_v4_1/stage1B/Macosko/seed42/analytic_RC_rec_only
Macosko,2024,0.2960433485616435,0.5508975400759839,0.3787129637290973,,0.0433462001383304,0.0364442393183708,0.2250937332619175,0.0876629173361899,0.9581922577522876,-0.7315404566673299,6.380891805034815,0.0,0.0658810926620246,3.452532291412353,0.847923994064331,0.8854824912143755,0.0,results/rc_nm_checkpoint_v4_1/stage1B/Macosko/seed2024/analytic_RC_rec_only
Pollen,42,0.8852804653766009,0.9308535909312552,0.8279973146283307,0.8402714932126697,0.0376497767865657,0.0300937239080667,0.1860465116279069,0.0033222591362126,0.8296281235223485,-0.4187396086444125,8.0,0.0,0.0,5.356781005859375,0.6153279542922974,0.941960205976,0.0,results/rc_nm_checkpoint_v4_1/stage1B/Pollen/seed42/analytic_RC_rec_only
Pollen,2024,0.8852804653766009,0.9308535909312552,0.8279973146283307,0.8402714932126697,0.0372619815170764,0.0296404082328081,0.1727574750830564,0.0099667774086378,0.8250550069210615,-0.4061536893865315,8.0,0.0,0.0,5.385623931884766,0.610942542552948,0.941660670512849,0.0,results/rc_nm_checkpoint_v4_1/stage1B/Pollen/seed2024/analytic_RC_rec_only
Tosches,42,0.5110389283688461,0.7209906519278324,0.6013406241764944,0.0277777777777777,0.0426758602261543,0.0358146652579307,0.2181740248606943,0.0783861980282897,0.9327637616930576,-0.7596149919224673,6.989391341620231,0.0,0.023253321903129,4.082460880279541,0.7361440658569336,0.9090630609811144,0.0,results/rc_nm_checkpoint_v4_1/stage1B/Tosches/seed42/analytic_RC_rec_only
Tosches,2024,0.5150626868744739,0.7293848849293125,0.6825805875932061,0.0277777777777777,0.0426758602261543,0.0358146652579307,0.2181740248606943,0.0783861980282897,0.9327637616930576,-0.7596149919224673,6.989391341620231,0.0,0.023253321903129,4.082460880279541,0.7361440658569336,0.9090630609811144,0.0,results/rc_nm_checkpoint_v4_1/stage1B/Tosches/seed2024/analytic_RC_rec_only
Wang,42,0.9712862589269587,0.9277784318463328,0.9905071011846268,,0.041482213884592,0.0350069552659988,0.2123122176699233,0.0640823615926042,0.9216599711977423,-0.6398276731840298,6.8691038974682215,0.0,0.0188044962706166,4.091141700744629,0.7278705835342407,0.8852566552733302,0.0,results/rc_nm_checkpoint_v4_1/stage1B/Wang/seed42/analytic_RC_rec_only
Wang,2024,0.9675927305868666,0.9201598914492573,0.9892711609295268,,0.041558351367712,0.0351204574108123,0.2151486500682844,0.0651328921105158,0.9217764947339836,-0.64870127398045,6.873306019539868,0.0,0.0181741779598697,4.125051498413086,0.7152637243270874,0.884783511165816,0.0,results/rc_nm_checkpoint_v4_1/stage1B/Wang/seed2024/analytic_RC_rec_only
worm_neuron_cell,42,0.5657135738101677,0.645441029409914,0.7041498809735479,,0.043860662728548,0.0369237698614597,0.2374581939799331,0.0929288103201146,0.9624710146344788,-0.7770276795958772,7.915910176779742,0.0,0.0033444816053511,3.778993606567383,0.8722804188728333,0.8952593914776306,0.0,results/rc_nm_checkpoint_v4_1/stage1B/worm_neuron_cell/seed42/analytic_RC_rec_only
worm_neuron_cell,2024,0.4922211676742468,0.6263286339135005,0.6755634456916597,,0.0438781455159187,0.0369288995862007,0.2398471094123268,0.0953177257525083,0.9625513792209468,-0.7774221163585241,7.912326803631151,0.0,0.0023889154323936,3.786576986312866,0.8794498443603516,0.8962420863518272,0.0,results/rc_nm_checkpoint_v4_1/stage1B/worm_neuron_cell/seed2024/analytic_RC_rec_only
