dataset,seed,ari,nmi,macro_f1,rare_cell_recall,KS_distance_perturb_norm,median_library_size_relative_diff,zero_fraction_absolute_diff,clip_rate_eta,passes_matching_thresholds,run_dir
Macosko,42,0.3034633669169981,0.5665188298038741,0.4565967910394002,,6.695232994108347e-05,2.855453931260854e-05,0.0489999999999999,0.0,True,results/rc_nm_checkpoint_v4_1/stage1B/Macosko/seed42/random_delta_matched_rec_only
Macosko,2024,0.2423410574010864,0.5346697699008169,0.3788173474985852,,6.695232994108347e-05,3.019207542820368e-05,0.0489999999999999,0.0,True,results/rc_nm_checkpoint_v4_1/stage1B/Macosko/seed2024/random_delta_matched_rec_only
Pollen,42,0.8852804653766009,0.9308535909312552,0.8279973146283307,0.8402714932126697,0.0033222591362126,6.476390262832865e-05,0.2089999999999999,0.0,False,results/rc_nm_checkpoint_v4_1/stage1B/Pollen/seed42/random_delta_matched_rec_only
Pollen,2024,0.8852804653766009,0.9308535909312552,0.8279973146283307,0.8402714932126697,0.0033222591362126,2.6822399377124384e-05,0.212,0.0,False,results/rc_nm_checkpoint_v4_1/stage1B/Pollen/seed2024/random_delta_matched_rec_only
Tosches,42,0.5115314778785588,0.7201654073679736,0.6002267183514627,0.0277777777777777,0.0001607372481783,0.0001793989213183,0.119,0.0,False,results/rc_nm_checkpoint_v4_1/stage1B/Tosches/seed42/random_delta_matched_rec_only
Tosches,2024,0.5160194912861124,0.7297255210335212,0.6831202852183961,0.0277777777777777,0.0001071581654522,0.0001865210506366,0.118,0.0,False,results/rc_nm_checkpoint_v4_1/stage1B/Tosches/seed2024/random_delta_matched_rec_only
Wang,42,0.9712909628777106,0.927800890432524,0.9905103566708152,,0.0002101061035823,9.543162013869733e-05,0.066,0.0,False,results/rc_nm_checkpoint_v4_1/stage1B/Wang/seed42/random_delta_matched_rec_only
Wang,2024,0.9675927305868666,0.9201598914492573,0.9892711609295268,,0.0002101061035823,9.317020885646345e-05,0.0669999999999999,0.0,False,results/rc_nm_checkpoint_v4_1/stage1B/Wang/seed2024/random_delta_matched_rec_only
worm_neuron_cell,42,0.5408608188705206,0.651295729247757,0.7125743019019569,,0.0004777830864787,0.0001614799402887,0.02,0.0,True,results/rc_nm_checkpoint_v4_1/stage1B/worm_neuron_cell/seed42/random_delta_matched_rec_only
worm_neuron_cell,2024,0.4991493185424788,0.6297104523964754,0.6783145624939271,,0.0004777830864787,0.0001660952984821,0.02,0.0,True,results/rc_nm_checkpoint_v4_1/stage1B/worm_neuron_cell/seed2024/random_delta_matched_rec_only
