Command: /data/luolie/conda/base/bin/python /home/luolie/biopipeline/dimension-reduction/plantnet/methods/DeepLearning/CutAware_NeighborMix_scMAE/run.py --data_path /home/luolie/biopipeline/dimension-reduction/plantnet/data/processed_scmae/Macosko.h5ad --save_dir /home/luolie/biopipeline/dimension-reduction/plantnet/results/experimental/cutaware_neighbormix_20260615/Macosko/canm_diagnostic_only/seed42 --dataset_name Macosko --variant_name canm_diagnostic_only --seed 42 --n_clusters 12 --epochs 80 --batch_size 256 --n_top_genes 1000 --gpu 6 --no_save_h5ad

Using device: cuda:0
/data/luolie/conda/base/lib/python3.13/functools.py:934: UserWarning: zero-centering a sparse array/matrix densifies it.
  return dispatch(args[0].__class__)(*args, **kw)
Epoch 001/80 loss=0.2265 scmae=0.2265 cut=0.0000 ot=0.0000 mass=[0.000,0.000]
Epoch 010/80 loss=0.1890 scmae=0.1890 cut=0.0000 ot=0.0000 mass=[0.000,0.000]
Epoch 020/80 loss=0.1844 scmae=0.1844 cut=0.0000 ot=0.0000 mass=[0.000,0.000]
Epoch 030/80 loss=0.1834 scmae=0.1834 cut=0.0000 ot=0.0000 mass=[0.000,0.000]
Epoch 040/80 loss=0.1843 scmae=0.1843 cut=0.0000 ot=0.0000 mass=[0.000,0.000]
Epoch 050/80 loss=0.1853 scmae=0.1853 cut=0.0000 ot=0.0000 mass=[0.000,0.000]
Epoch 060/80 loss=0.1853 scmae=0.1853 cut=0.0000 ot=0.0000 mass=[0.000,0.000]
Epoch 070/80 loss=0.1831 scmae=0.1831 cut=0.0000 ot=0.0000 mass=[0.000,0.000]
Epoch 080/80 loss=0.1808 scmae=0.1808 cut=0.0000 ot=0.0000 mass=[0.000,0.000]
Results saved to: /home/luolie/biopipeline/dimension-reduction/plantnet/results/experimental/cutaware_neighbormix_20260615/Macosko/canm_diagnostic_only/seed42
