Command: /data/luolie/conda/base/bin/python /home/luolie/biopipeline/dimension-reduction/plantnet/methods/DeepLearning/CutAware_NeighborMix_scMAE/run.py --data_path /home/luolie/biopipeline/dimension-reduction/plantnet/data/processed/Wang.h5ad --save_dir /home/luolie/biopipeline/dimension-reduction/plantnet/results/experimental/cutaware_neighbormix_20260615/Wang/canm_diagnostic_only/seed42 --dataset_name Wang --variant_name canm_diagnostic_only --seed 42 --n_clusters 2 --epochs 80 --batch_size 256 --n_top_genes 1000 --gpu 6 --no_save_h5ad

Using device: cuda:0
/data/luolie/conda/base/lib/python3.13/functools.py:934: UserWarning: zero-centering a sparse array/matrix densifies it.
  return dispatch(args[0].__class__)(*args, **kw)
Epoch 001/80 loss=0.3364 scmae=0.3364 cut=0.0000 ot=0.0000 mass=[0.000,0.000]
Epoch 010/80 loss=0.1925 scmae=0.1925 cut=0.0000 ot=0.0000 mass=[0.000,0.000]
Epoch 020/80 loss=0.1855 scmae=0.1855 cut=0.0000 ot=0.0000 mass=[0.000,0.000]
Epoch 030/80 loss=0.1836 scmae=0.1836 cut=0.0000 ot=0.0000 mass=[0.000,0.000]
Epoch 040/80 loss=0.1802 scmae=0.1802 cut=0.0000 ot=0.0000 mass=[0.000,0.000]
Epoch 050/80 loss=0.1795 scmae=0.1795 cut=0.0000 ot=0.0000 mass=[0.000,0.000]
Epoch 060/80 loss=0.1785 scmae=0.1785 cut=0.0000 ot=0.0000 mass=[0.000,0.000]
Epoch 070/80 loss=0.1752 scmae=0.1752 cut=0.0000 ot=0.0000 mass=[0.000,0.000]
Epoch 080/80 loss=0.1743 scmae=0.1743 cut=0.0000 ot=0.0000 mass=[0.000,0.000]
Results saved to: /home/luolie/biopipeline/dimension-reduction/plantnet/results/experimental/cutaware_neighbormix_20260615/Wang/canm_diagnostic_only/seed42
