label,n_cells,precision,recall,f1,is_rare_lt_50
0,4426,0.7702888583218707,0.5061003163126977,0.6108535587673848,False
1,54,0.0002592016588906169,0.018518518518518517,0.0005112474437627812,False
2,6285,0.9566069428891377,0.5436754176610978,0.6933143958608096,False
3,1868,0.9779965257672264,0.9041755888650964,0.9396383866481224,False
4,85,0.0,0.0,0.0,False
5,432,0.0021115607953545662,0.027777777777777776,0.003924775143090761,False
6,252,0.004714510214772132,0.03571428571428571,0.008329477093937991,False
7,67,0.9552238805970149,0.9552238805970149,0.9552238805970149,False
8,1624,0.8963553530751709,0.9692118226600985,0.9313609467455621,False
9,63,0.00042753313381787086,0.015873015873015872,0.0008326394671107411,False
10,29400,0.96431219873934,0.353843537414966,0.5177167313625958,False
11,252,0.7857142857142857,0.9166666666666666,0.8461538461538461,False
