Command: /data/luolie/conda/base/bin/python /home/luolie/biopipeline/dimension-reduction/plantnet/methods/DeepLearning/CutAware_NeighborMix_scMAE/run.py --data_path /home/luolie/biopipeline/dimension-reduction/plantnet/data/processed_scmae/Melanoma_5K.h5ad --save_dir /home/luolie/biopipeline/dimension-reduction/plantnet/results/experimental/cutaware_neighbormix_20260615/Melanoma_5K/canm_cut_reweighted_mix/seed42 --dataset_name Melanoma_5K --variant_name canm_cut_reweighted_mix --seed 42 --n_clusters 9 --epochs 80 --batch_size 256 --n_top_genes 1000 --gpu 3 --no_save_h5ad

Using device: cuda:0
/data/luolie/conda/base/lib/python3.13/functools.py:934: UserWarning: zero-centering a sparse array/matrix densifies it.
  return dispatch(args[0].__class__)(*args, **kw)
Epoch 001/80 loss=0.5485 scmae=0.4478 cut=0.0000 ot=0.0000 mass=[0.000,0.000]
Epoch 010/80 loss=0.2954 scmae=0.2187 cut=0.0000 ot=0.0000 mass=[0.000,0.000]
Epoch 020/80 loss=0.2895 scmae=0.2143 cut=0.0000 ot=0.0000 mass=[0.000,0.000]
Epoch 030/80 loss=0.2842 scmae=0.2095 cut=0.0000 ot=0.0000 mass=[0.000,0.000]
Epoch 040/80 loss=0.2824 scmae=0.2081 cut=0.0000 ot=0.0000 mass=[0.000,0.000]
Epoch 050/80 loss=0.2790 scmae=0.2054 cut=0.0000 ot=0.0000 mass=[0.000,0.000]
Epoch 060/80 loss=0.2781 scmae=0.2046 cut=0.0000 ot=0.0000 mass=[0.000,0.000]
Epoch 070/80 loss=0.2758 scmae=0.2024 cut=0.0000 ot=0.0000 mass=[0.000,0.000]
Epoch 080/80 loss=0.2743 scmae=0.2015 cut=0.0000 ot=0.0000 mass=[0.000,0.000]
Results saved to: /home/luolie/biopipeline/dimension-reduction/plantnet/results/experimental/cutaware_neighbormix_20260615/Melanoma_5K/canm_cut_reweighted_mix/seed42
