Command: /data/luolie/conda/base/bin/python /home/luolie/biopipeline/dimension-reduction/plantnet/methods/DeepLearning/CutAware_NeighborMix_scMAE/run.py --data_path /home/luolie/biopipeline/dimension-reduction/plantnet/data/processed_scmae/Melanoma_5K.h5ad --save_dir /home/luolie/biopipeline/dimension-reduction/plantnet/results/experimental/cutaware_neighbormix_20260615/Melanoma_5K/canm_gated_cut_warm/seed42 --dataset_name Melanoma_5K --variant_name canm_gated_cut_warm --seed 42 --n_clusters 9 --epochs 80 --batch_size 256 --n_top_genes 1000 --gpu 3 --no_save_h5ad

Using device: cuda:0
/data/luolie/conda/base/lib/python3.13/functools.py:934: UserWarning: zero-centering a sparse array/matrix densifies it.
  return dispatch(args[0].__class__)(*args, **kw)
Epoch 001/80 loss=0.5485 scmae=0.4478 cut=0.0000 ot=0.0000 gate=0.000 mass=[0.000,0.000]
Epoch 010/80 loss=0.2954 scmae=0.2187 cut=0.0000 ot=0.0000 gate=0.000 mass=[0.000,0.000]
Epoch 020/80 loss=0.2900 scmae=0.2142 cut=0.0000 ot=0.0000 gate=0.766 mass=[0.000,0.000]
Epoch 030/80 loss=0.2840 scmae=0.2093 cut=0.0000 ot=0.0000 gate=0.731 mass=[0.000,0.000]
Epoch 040/80 loss=0.2820 scmae=0.2079 cut=0.0000 ot=0.0000 gate=0.725 mass=[0.000,0.000]
Epoch 050/80 loss=0.2783 scmae=0.2051 cut=0.0000 ot=0.0000 gate=0.726 mass=[0.000,0.000]
Epoch 060/80 loss=0.2775 scmae=0.2044 cut=0.0000 ot=0.0000 gate=0.726 mass=[0.000,0.000]
Epoch 070/80 loss=0.2752 scmae=0.2022 cut=0.0000 ot=0.0000 gate=0.725 mass=[0.000,0.000]
Epoch 080/80 loss=0.2735 scmae=0.2012 cut=0.0000 ot=0.0000 gate=0.727 mass=[0.000,0.000]
Results saved to: /home/luolie/biopipeline/dimension-reduction/plantnet/results/experimental/cutaware_neighbormix_20260615/Melanoma_5K/canm_gated_cut_warm/seed42
