label,n_cells,precision,recall,f1,is_rare_lt_50
0,1082,0.751412429378531,0.6146025878003697,0.6761565836298933,False
1,690,0.9232914923291492,0.9594202898550724,0.9410092395167022,False
2,354,0.0,0.0,0.0,False
3,948,0.9306122448979591,0.4810126582278481,0.6342141863699583,False
4,300,1.0,0.7533333333333333,0.8593155893536122,False
5,1524,0.7471143756558237,0.9343832020997376,0.8303206997084548,False
6,396,0.003289473684210526,0.0025252525252525255,0.002857142857142857,False
7,1751,0.8825503355704698,0.7509994288977727,0.8114779389077446,False
8,854,0.9605734767025089,0.31381733021077285,0.4730803177405119,False
9,266,0.20473773265651438,0.9097744360902256,0.3342541436464088,False
10,1153,0.9904109589041096,0.627059843885516,0.7679235262878386,False
11,2569,0.8255627009646302,0.39976644608797196,0.5386834513506426,False
12,478,0.1625677365568987,0.8158995815899581,0.2711157455683003,False
13,344,1.0,0.6133720930232558,0.7603603603603604,False
14,805,0.5149750415973378,0.768944099378882,0.6168410563029397,False
