Command: /data/luolie/conda/base/bin/python /home/luolie/biopipeline/dimension-reduction/plantnet/methods/DeepLearning/CutAware_NeighborMix_scMAE/run.py --data_path /home/luolie/biopipeline/dimension-reduction/plantnet/data/processed_scmae/Tosches.h5ad --save_dir /home/luolie/biopipeline/dimension-reduction/plantnet/results/experimental/cutaware_neighbormix_20260615/Tosches/canm_gated_cut_mix/seed42 --dataset_name Tosches --variant_name canm_gated_cut_mix --seed 42 --n_clusters 15 --epochs 80 --batch_size 256 --n_top_genes 1000 --gpu 5 --no_save_h5ad

Using device: cuda:0
/data/luolie/conda/base/lib/python3.13/functools.py:934: UserWarning: zero-centering a sparse array/matrix densifies it.
  return dispatch(args[0].__class__)(*args, **kw)
Epoch 001/80 loss=0.3861 scmae=0.2983 cut=0.0000 ot=0.0000 gate=0.775 mass=[0.000,0.000]
Epoch 010/80 loss=0.3039 scmae=0.2240 cut=0.0000 ot=0.0000 gate=0.752 mass=[0.000,0.000]
Epoch 020/80 loss=0.2962 scmae=0.2211 cut=0.0000 ot=0.0000 gate=0.755 mass=[0.000,0.000]
Epoch 030/80 loss=0.2931 scmae=0.2196 cut=0.0000 ot=0.0000 gate=0.759 mass=[0.000,0.000]
Epoch 040/80 loss=0.2896 scmae=0.2171 cut=0.0000 ot=0.0000 gate=0.762 mass=[0.000,0.000]
Epoch 050/80 loss=0.2870 scmae=0.2152 cut=0.0000 ot=0.0000 gate=0.763 mass=[0.000,0.000]
Epoch 060/80 loss=0.2856 scmae=0.2143 cut=0.0000 ot=0.0000 gate=0.765 mass=[0.000,0.000]
Epoch 070/80 loss=0.2855 scmae=0.2142 cut=0.0000 ot=0.0000 gate=0.764 mass=[0.000,0.000]
Epoch 080/80 loss=0.2841 scmae=0.2132 cut=0.0000 ot=0.0000 gate=0.765 mass=[0.000,0.000]
Results saved to: /home/luolie/biopipeline/dimension-reduction/plantnet/results/experimental/cutaware_neighbormix_20260615/Tosches/canm_gated_cut_mix/seed42
