Command: /data/luolie/conda/base/bin/python /home/luolie/biopipeline/dimension-reduction/plantnet/methods/DeepLearning/CutAware_NeighborMix_scMAE/run.py --data_path /home/luolie/biopipeline/dimension-reduction/plantnet/data/processed/Wang.h5ad --save_dir /home/luolie/biopipeline/dimension-reduction/plantnet/results/experimental/cutaware_neighbormix_20260615/Wang/canm_cut_ot_warm/seed42 --dataset_name Wang --variant_name canm_cut_ot_warm --seed 42 --n_clusters 2 --epochs 80 --batch_size 256 --n_top_genes 1000 --gpu 3 --no_save_h5ad

Using device: cuda:0
/data/luolie/conda/base/lib/python3.13/functools.py:934: UserWarning: zero-centering a sparse array/matrix densifies it.
  return dispatch(args[0].__class__)(*args, **kw)
Epoch 001/80 loss=0.3364 scmae=0.3364 cut=0.0000 ot=0.0000 mass=[0.000,0.000]
Epoch 010/80 loss=0.1925 scmae=0.1925 cut=0.0000 ot=0.0000 mass=[0.000,0.000]
Epoch 020/80 loss=0.2015 scmae=0.1866 cut=0.2610 ot=0.0953 mass=[0.396,0.604]
Epoch 030/80 loss=0.1907 scmae=0.1841 cut=0.1179 ot=0.0314 mass=[0.274,0.726]
Epoch 040/80 loss=0.1867 scmae=0.1803 cut=0.1152 ot=0.0308 mass=[0.276,0.724]
Epoch 050/80 loss=0.1862 scmae=0.1796 cut=0.1147 ot=0.0397 mass=[0.258,0.742]
Epoch 060/80 loss=0.1848 scmae=0.1787 cut=0.1075 ot=0.0361 mass=[0.267,0.733]
Epoch 070/80 loss=0.1815 scmae=0.1751 cut=0.1099 ot=0.0410 mass=[0.278,0.722]
Epoch 080/80 loss=0.1811 scmae=0.1745 cut=0.1068 ot=0.0663 mass=[0.268,0.732]
Results saved to: /home/luolie/biopipeline/dimension-reduction/plantnet/results/experimental/cutaware_neighbormix_20260615/Wang/canm_cut_ot_warm/seed42
