Command: /data/luolie/conda/base/bin/python /home/luolie/biopipeline/dimension-reduction/plantnet/methods/DeepLearning/CutAware_NeighborMix_scMAE/run.py --data_path /home/luolie/biopipeline/dimension-reduction/plantnet/data/processed/Wang.h5ad --save_dir /home/luolie/biopipeline/dimension-reduction/plantnet/results/experimental/cutaware_neighbormix_20260615/Wang/canm_gated_cut_mix/seed42 --dataset_name Wang --variant_name canm_gated_cut_mix --seed 42 --n_clusters 2 --epochs 80 --batch_size 256 --n_top_genes 1000 --gpu 6 --no_save_h5ad

Using device: cuda:0
/data/luolie/conda/base/lib/python3.13/functools.py:934: UserWarning: zero-centering a sparse array/matrix densifies it.
  return dispatch(args[0].__class__)(*args, **kw)
Epoch 001/80 loss=0.4215 scmae=0.3356 cut=0.0000 ot=0.0000 gate=0.883 mass=[0.000,0.000]
Epoch 010/80 loss=0.2587 scmae=0.1940 cut=0.0000 ot=0.0000 gate=0.812 mass=[0.000,0.000]
Epoch 020/80 loss=0.2504 scmae=0.1880 cut=0.0000 ot=0.0000 gate=0.817 mass=[0.000,0.000]
Epoch 030/80 loss=0.2472 scmae=0.1852 cut=0.0000 ot=0.0000 gate=0.820 mass=[0.000,0.000]
Epoch 040/80 loss=0.2443 scmae=0.1828 cut=0.0000 ot=0.0000 gate=0.819 mass=[0.000,0.000]
Epoch 050/80 loss=0.2415 scmae=0.1807 cut=0.0000 ot=0.0000 gate=0.818 mass=[0.000,0.000]
Epoch 060/80 loss=0.2389 scmae=0.1785 cut=0.0000 ot=0.0000 gate=0.819 mass=[0.000,0.000]
Epoch 070/80 loss=0.2373 scmae=0.1772 cut=0.0000 ot=0.0000 gate=0.815 mass=[0.000,0.000]
Epoch 080/80 loss=0.2344 scmae=0.1747 cut=0.0000 ot=0.0000 gate=0.814 mass=[0.000,0.000]
Results saved to: /home/luolie/biopipeline/dimension-reduction/plantnet/results/experimental/cutaware_neighbormix_20260615/Wang/canm_gated_cut_mix/seed42
