Command: /data/luolie/conda/base/bin/python /home/luolie/biopipeline/dimension-reduction/plantnet/methods/DeepLearning/CutAware_NeighborMix_scMAE/run.py --data_path /home/luolie/biopipeline/dimension-reduction/plantnet/data/processed/Wang.h5ad --save_dir /home/luolie/biopipeline/dimension-reduction/plantnet/results/experimental/cutaware_neighbormix_20260615/Wang/canm_mix_plus_cut/seed42 --dataset_name Wang --variant_name canm_mix_plus_cut --seed 42 --n_clusters 2 --epochs 80 --batch_size 256 --n_top_genes 1000 --gpu 4 --no_save_h5ad

Using device: cuda:0
/data/luolie/conda/base/lib/python3.13/functools.py:934: UserWarning: zero-centering a sparse array/matrix densifies it.
  return dispatch(args[0].__class__)(*args, **kw)
Epoch 001/80 loss=0.4909 scmae=0.3543 cut=0.2058 ot=0.0761 mass=[0.389,0.611]
Epoch 010/80 loss=0.2926 scmae=0.1987 cut=0.1333 ot=0.0265 mass=[0.316,0.684]
Epoch 020/80 loss=0.2803 scmae=0.1911 cut=0.1127 ot=0.0350 mass=[0.284,0.716]
Epoch 030/80 loss=0.2769 scmae=0.1879 cut=0.1135 ot=0.0370 mass=[0.269,0.731]
Epoch 040/80 loss=0.2731 scmae=0.1854 cut=0.1089 ot=0.0377 mass=[0.271,0.729]
Epoch 050/80 loss=0.2691 scmae=0.1825 cut=0.1014 ot=0.0472 mass=[0.268,0.732]
Epoch 060/80 loss=0.2672 scmae=0.1806 cut=0.1030 ot=0.0453 mass=[0.266,0.734]
Epoch 070/80 loss=0.2669 scmae=0.1796 cut=0.1076 ot=0.0462 mass=[0.268,0.732]
Epoch 080/80 loss=0.2627 scmae=0.1772 cut=0.1016 ot=0.0453 mass=[0.270,0.730]
Results saved to: /home/luolie/biopipeline/dimension-reduction/plantnet/results/experimental/cutaware_neighbormix_20260615/Wang/canm_mix_plus_cut/seed42
