dataset,method,ari,acc,nmi,mean_gate_final,gate_eff_final
Macosko,canm_cut_reweighted_mix,0.3732874256022652,0.5819496518478843,0.6232832435020494,,
Melanoma_5K,canm_cut_reweighted_mix,0.664733700215499,0.7349878129847108,0.7320136007131621,,
SRP182008,canm_cut_reweighted_mix,0.4443267937614685,0.5947905875388486,0.6208814090020858,,
Tosches,canm_cut_reweighted_mix,0.7389076207884887,0.7430347192456065,0.770778720917153,,
Wang,canm_cut_reweighted_mix,0.9391771630721001,0.9860279441117764,0.8693807179817733,,
Macosko,canm_gated_cut_mix,0.2923443703710783,0.4431574718800214,0.5662881511847346,0.7439273907379671,3.2589211992242118
Melanoma_5K,canm_gated_cut_mix,0.6606284100119668,0.7239087081763793,0.7247762485646302,0.7526011996799045,3.417125291294522
SRP182008,canm_gated_cut_mix,0.45148049378922905,0.6089240787331656,0.6292471868145683,0.7532167265999992,3.334876793735432
Tosches,canm_gated_cut_mix,0.5211912275080864,0.6284826403771967,0.7203884628716325,0.765059131465546,3.3418738548069786
Wang,canm_gated_cut_mix,0.9387409999669465,0.9859228910599853,0.8688984111855032,0.8140381135438618,3.6183924298537407
Macosko,scGPT_runner_pca_fallback,0.22565919140737453,0.38468577039814317,0.5347891642857675,,
Melanoma_5K,scGPT_runner_pca_fallback,0.552736518267948,0.66009306448039,0.6428684271025294,,
SRP182008,scGPT_runner_pca_fallback,0.5129633726110361,0.6792215480242711,0.6600835520700159,,
Tosches,scGPT_runner_pca_fallback,0.5223780950951161,0.636894556365195,0.7275558619687671,,
Wang,scGPT_runner_pca_fallback,0.9382953239988724,0.9858178380081941,0.868187253255384,,
