label,n_cells,same_label_edge_ratio,same_label_edge_ratio_weighted,is_minority_q25
0,294,0.9843537414965986,0.981748640537262,True
1,320,0.905625,0.8938886523246765,False
2,560,0.9510714285714286,0.9476101398468018,False
3,876,0.9052511415525114,0.9121889472007751,False
4,353,0.9971671388101983,0.9965824484825134,False
5,319,0.9197492163009404,0.9164335131645203,True
6,607,0.9769357495881383,0.9768627285957336,False
7,341,0.9958944281524926,0.9947740435600281,False
8,338,0.9662721893491124,0.9682815670967102,False
9,509,0.944204322200393,0.9496591687202454,False
10,28,0.7714285714285715,0.801065981388092,True
11,1945,0.9579434447300771,0.9586763978004456,False
