label,n_cells,same_label_edge_ratio,same_label_edge_ratio_weighted,is_minority_q25
0,4426,0.09864437415273385,0.09864435344934464,False
1,54,0.0,0.0,True
2,6285,0.14310262529832934,0.14310260117053986,False
3,1868,0.042184154175588864,0.04218415170907974,False
4,85,0.004705882352941176,0.004705881699919701,False
5,432,0.012962962962962963,0.012962961569428444,False
6,252,0.009523809523809525,0.00952380895614624,False
7,67,0.0029850746268656717,0.0029850739520043135,True
8,1624,0.03460591133004926,0.034605905413627625,False
9,63,0.0,0.0,True
10,29400,0.6570340136054422,0.6570339798927307,False
11,252,0.003968253968253968,0.003968253266066313,False
