label,n_cells,same_label_edge_ratio,same_label_edge_ratio_weighted,is_minority_q25
0,4426,0.9422503389064618,0.9419841170310974,False
1,54,0.9851851851851852,0.9814814925193787,True
2,6285,0.9453301511535401,0.9450210928916931,False
3,1868,0.9779443254817987,0.9759522676467896,False
4,85,0.96,0.954174816608429,False
5,432,0.9763888888888889,0.9738385081291199,False
6,252,0.9841269841269841,0.9772123098373413,False
7,67,0.8417910447761194,0.8219497799873352,True
8,1624,0.9779556650246305,0.9752568602561951,False
9,63,0.9619047619047619,0.9565543532371521,True
10,29400,0.967265306122449,0.9687898755073547,False
11,252,0.9666666666666667,0.968053936958313,False
