label,n_cells,same_label_edge_ratio,same_label_edge_ratio_weighted,is_minority_q25
0,252,0.00873015873015873,0.00873015820980072,True
1,1091,0.04161319890009166,0.04161319136619568,False
2,792,0.02702020202020202,0.027020197361707687,False
3,558,0.01971326164874552,0.019713260233402252,False
4,535,0.020560747663551402,0.020560743287205696,False
5,817,0.03696450428396573,0.036964498460292816,False
6,398,0.015577889447236181,0.015577886253595352,True
7,2237,0.08189539561913277,0.0818953886628151,False
8,479,0.01753653444676409,0.017536532133817673,False
9,1372,0.04795918367346939,0.047959182411432266,False
10,553,0.019168173598553346,0.019168170168995857,False
11,1702,0.06533490011750881,0.06533488631248474,False
12,1759,0.06401364411597499,0.06401364505290985,False
13,313,0.012140575079872205,0.012140574865043163,True
14,48,0.0,0.0,True
15,2945,0.10960950764006791,0.10960948467254639,False
16,10888,0.40145113886847905,0.40145108103752136,False
17,91,0.004395604395604396,0.00439560366794467,True
