label,n_cells,same_label_edge_ratio,same_label_edge_ratio_weighted,is_minority_q25
0,252,0.9873015873015873,0.9913446307182312,True
1,1091,0.9604032997250229,0.9636682271957397,False
2,792,0.9593434343434344,0.955820620059967,False
3,558,0.9888888888888889,0.9868297576904297,False
4,535,0.9693457943925233,0.9697055816650391,False
5,817,0.9689106487148103,0.9701313972473145,False
6,398,0.9165829145728643,0.9096820950508118,True
7,2237,0.9562807331247206,0.9630439877510071,False
8,479,0.881419624217119,0.8868691325187683,False
9,1372,0.9637026239067056,0.9663465619087219,False
10,553,0.94249547920434,0.9442396759986877,False
11,1702,0.9488836662749707,0.9529614448547363,False
12,1759,0.9736213757816942,0.9749876856803894,False
13,313,0.810223642172524,0.8358109593391418,True
14,48,1.0,1.0,True
15,2945,0.999320882852292,0.9998234510421753,False
16,10888,0.9874724467303453,0.9879164099693298,False
17,91,1.0,1.0,True
