label,n_cells,same_label_edge_ratio,same_label_edge_ratio_weighted,is_minority_q25
0,6514,0.3456248081056187,0.34562477469444275,False
1,472,0.023305084745762712,0.023305082693696022,False
2,1218,0.06206896551724138,0.06206895038485527,False
3,1064,0.054699248120300754,0.05469924211502075,False
4,2703,0.14753977062523121,0.14753974974155426,False
5,1694,0.08748524203069658,0.08748523890972137,False
6,826,0.043341404358353514,0.04334140196442604,False
7,664,0.03584337349397591,0.035843364894390106,False
8,36,0.011111111111111112,0.011111108586192131,True
9,36,0.005555555555555556,0.0055555542930960655,True
10,589,0.027164685908319185,0.027164682745933533,False
11,114,0.005263157894736842,0.0052631571888923645,True
12,717,0.03542538354253835,0.035425376147031784,False
13,1862,0.09752953813104188,0.09752953052520752,False
14,155,0.00903225806451613,0.00903225690126419,True
