label,n_cells,same_label_edge_ratio,same_label_edge_ratio_weighted,is_minority_q25
0,842,0.2033254156769596,0.20332540571689606,False
1,70,0.008571428571428572,0.008571427315473557,True
2,334,0.08203592814371258,0.08203591406345367,False
3,1015,0.24334975369458128,0.24334974586963654,False
4,443,0.10970654627539503,0.10970653593540192,False
5,400,0.094,0.09399998188018799,False
6,314,0.05732484076433121,0.05732483044266701,False
7,305,0.06426229508196721,0.0642622858285904,False
8,224,0.04642857142857143,0.04642856866121292,True
9,239,0.06108786610878661,0.06108786165714264,True
