label,n_cells,same_label_edge_ratio,same_label_edge_ratio_weighted,is_minority_q25
0,294,0.9843537414965986,0.9834043383598328,True
1,320,0.905625,0.9060035943984985,False
2,560,0.95,0.9503969550132751,False
3,876,0.9059360730593607,0.9061078429222107,False
4,353,0.9971671388101983,0.9973152279853821,False
5,319,0.9222570532915361,0.9228025674819946,True
6,607,0.9772652388797364,0.9772583246231079,False
7,341,0.9964809384164223,0.996338427066803,False
8,338,0.9662721893491124,0.9673109650611877,False
9,509,0.944204322200393,0.9453112483024597,False
10,28,0.7857142857142857,0.8166733980178833,True
11,1945,0.9584575835475578,0.958769679069519,False
