label,n_cells,same_label_edge_ratio,same_label_edge_ratio_weighted,is_minority_q25
0,294,0.04625850340136054,0.04625850170850754,True
1,320,0.04,0.03999999165534973,False
2,560,0.08714285714285715,0.08714285492897034,False
3,876,0.13264840182648402,0.13264837861061096,False
4,353,0.058923512747875356,0.05892350152134895,False
5,319,0.042633228840125395,0.04263322055339813,True
6,607,0.09588138385502472,0.0958813726902008,False
7,341,0.0656891495601173,0.06568913906812668,False
8,338,0.045562130177514794,0.04556212201714516,False
9,509,0.07269155206286837,0.07269154489040375,False
10,28,0.007142857142857143,0.00714285671710968,True
11,1945,0.30282776349614393,0.30282771587371826,False
