label,n_cells,same_label_edge_ratio,same_label_edge_ratio_weighted,is_minority_q25
0,842,0.18788598574821852,0.18788596987724304,False
1,70,0.014285714285714285,0.014285711571574211,True
2,334,0.08323353293413174,0.08323351293802261,False
3,1015,0.2476847290640394,0.24768470227718353,False
4,443,0.109255079006772,0.10925507545471191,False
5,400,0.1045,0.10449998825788498,False
6,314,0.07579617834394904,0.07579616457223892,False
7,305,0.08196721311475409,0.08196719735860825,False
8,224,0.049107142857142856,0.049107134342193604,True
9,239,0.05355648535564853,0.05355647951364517,True
