label,n_cells,same_label_edge_ratio,same_label_edge_ratio_weighted,is_minority_q25
0,4426,0.5713059195661997,0.9265038371086121,False
1,54,0.6148148148148148,0.9634180665016174,True
2,6285,0.5742561654733492,0.932034969329834,False
3,1868,0.5851177730192719,0.9589076042175293,False
4,85,0.5623529411764706,0.9321140050888062,False
5,432,0.5837962962962963,0.960824191570282,False
6,252,0.5976190476190476,0.9708701372146606,False
7,67,0.5104477611940299,0.8327454924583435,True
8,1624,0.5841133004926108,0.9555593132972717,False
9,63,0.5619047619047619,0.9448518753051758,True
10,29400,0.5803809523809523,0.9485577940940857,False
11,252,0.5769841269841269,0.9588990807533264,False
