label,n_cells,same_label_edge_ratio,same_label_edge_ratio_weighted,is_minority_q25
0,4426,0.5617261635788522,0.9228196740150452,False
1,54,0.662962962962963,0.978374183177948,True
2,6285,0.5691328560063643,0.9298782348632812,False
3,1868,0.5869379014989293,0.953387439250946,False
4,85,0.5929411764705882,0.9575546979904175,False
5,432,0.5861111111111111,0.9602161645889282,False
6,252,0.5952380952380952,0.9694650769233704,False
7,67,0.5134328358208955,0.8070845007896423,True
8,1624,0.5822660098522168,0.9591201543807983,False
9,63,0.5555555555555556,0.9469329714775085,True
10,29400,0.5790408163265306,0.9489846229553223,False
11,252,0.569047619047619,0.9390395283699036,False
