label,n_cells,same_label_edge_ratio,same_label_edge_ratio_weighted,is_minority_q25
0,6514,0.5954252379490329,0.9774184823036194,False
1,472,0.5792372881355933,0.9263044595718384,False
2,1218,0.5407224958949097,0.8504000306129456,False
3,1064,0.2851503759398496,0.43087953329086304,False
4,2703,0.48005919348871623,0.7546740174293518,False
5,1694,0.4296340023612751,0.6607844829559326,False
6,826,0.5782082324455206,0.9255839586257935,False
7,664,0.5783132530120482,0.9326986074447632,False
8,36,0.3888888888888889,0.6326110363006592,True
9,36,0.3611111111111111,0.5932978987693787,True
10,589,0.6023769100169779,0.9827149510383606,False
11,114,0.5877192982456141,0.9395893812179565,True
12,717,0.5336122733612273,0.840471625328064,False
13,1862,0.5998925886143931,0.980615496635437,False
14,155,0.6219354838709678,0.9831641316413879,True
