label,n_cells,same_label_edge_ratio,same_label_edge_ratio_weighted,is_minority_q25
0,842,0.7064133016627079,0.8825337886810303,False
1,70,0.7171428571428572,0.9196662902832031,True
2,334,0.7604790419161677,0.9393823146820068,False
3,1015,0.5936945812807882,0.7438437342643738,False
4,443,0.6248306997742664,0.77451491355896,False
5,400,0.5805,0.72371506690979,False
6,314,0.7050955414012738,0.8897472023963928,False
7,305,0.6845901639344262,0.8444352149963379,False
8,224,0.7776785714285714,0.9734683632850647,True
9,239,0.7573221757322176,0.946291446685791,True
