label,n_cells,same_label_edge_ratio,same_label_edge_ratio_weighted,is_minority_q25
0,842,0.5180522565320665,0.8538600206375122,False
1,70,0.52,0.8961070775985718,True
2,334,0.5688622754491018,0.910041332244873,False
3,1015,0.44571428571428573,0.7213658094406128,False
4,443,0.4618510158013544,0.7506647706031799,False
5,400,0.4205,0.6971477270126343,False
6,314,0.5171974522292994,0.8738320469856262,False
7,305,0.5029508196721312,0.8239097595214844,False
8,224,0.5982142857142857,0.9509137868881226,True
9,239,0.5640167364016736,0.9291093349456787,True
