label,n_cells,same_label_edge_ratio,same_label_edge_ratio_weighted,is_minority_q25
0,842,0.8852731591448931,0.8863739967346191,False
1,70,0.92,0.9245237112045288,True
2,334,0.9383233532934132,0.938351571559906,False
3,1015,0.7467980295566502,0.74788498878479,False
4,443,0.7796839729119639,0.7795504927635193,False
5,400,0.734,0.7327050566673279,False
6,314,0.8942675159235669,0.8968288898468018,False
7,305,0.8439344262295082,0.847344696521759,False
8,224,0.9642857142857143,0.9651055932044983,True
9,239,0.9481171548117154,0.9484224915504456,True
