dataset,method,seed,variant,ablation_method,neighbor_backend,pseudo_weight,pseudo_gate_p,edge_dropout_keep,alpha_mean,beta_mean,beta_mode,beta_fixed,beta_max,beta_target_mean,beta_std,beta_p,target_mode,noise_mode,bad_edge_ratio,oracle_neighbor,acc,nmi,ari,f1_macro,fmi,v_measure,homogeneity,completeness,n_pred_clusters,silhouette,protocol,cluster_method,uses_known_k,stage,run_dir,group,nomix_ari,nomix_f1_macro,delta_ari_vs_nomix,delta_f1_vs_nomix,ari_rank
Guo,fixed_beta_0.05,0,fixed_beta_0.05,beta_control,pca_cosine_knn,0.3,1.0,1.0,0.9499998688697816,0.0500000081956386,fixed,0.05,0.05,0.05,0.02,0.5,anchor,local_mix,0.0,none,0.8705701078582434,0.8546348065683647,0.8410301487511141,0.8045662504542439,0.8638706222826624,0.8546348065683647,0.866114914139239,0.8434550490828451,12,,fixed,kmeans_known_k,True,full,results/experiments/neighbormix_beta_mechanism_20260617/full/Guo/fixed_beta_0.05/seed0,neutral,0.8419856832113954,0.8353301520712294,-0.0009555344602812932,-0.0307639016169855,5.0
Guo,fixed_beta_0.05,1,fixed_beta_0.05,beta_control,pca_cosine_knn,0.3,1.0,1.0,0.9499998688697816,0.0500000081956386,fixed,0.05,0.05,0.05,0.02,0.5,anchor,local_mix,0.0,none,0.8902927580893683,0.8652364454756739,0.8573362948622901,0.8205061522783232,0.8778618505270728,0.8652364454756737,0.875100432651267,0.8555923501755512,12,,fixed,kmeans_known_k,True,full,results/experiments/neighbormix_beta_mechanism_20260617/full/Guo/fixed_beta_0.05/seed1,neutral,0.8386476962743222,0.8341045832709125,0.018688598587967897,-0.013598430992589283,4.0
Guo,fixed_beta_0.05,2,fixed_beta_0.05,beta_control,pca_cosine_knn,0.3,1.0,1.0,0.9499998688697816,0.0500000081956386,fixed,0.05,0.05,0.05,0.02,0.5,anchor,local_mix,0.0,none,0.8554699537750385,0.8420398985944252,0.814511246475964,0.7746218769312588,0.8410853111973462,0.8420398985944253,0.8486209836938148,0.8355601010916538,12,,fixed,kmeans_known_k,True,full,results/experiments/neighbormix_beta_mechanism_20260617/full/Guo/fixed_beta_0.05/seed2,neutral,0.8312158272070158,0.7820204092535549,-0.016704580731051855,-0.007398532322296036,5.0
Guo,fixed_beta_0.1,0,fixed_beta_0.1,beta_control,pca_cosine_knn,0.3,1.0,1.0,0.8999998569488525,0.1000000163912773,fixed,0.1,0.1,0.05,0.02,0.5,anchor,local_mix,0.0,none,0.8710323574730354,0.8554820723681416,0.842181915987195,0.8050776136757233,0.8648544020142742,0.8554820723681416,0.8664290077640656,0.8448083046958067,12,,fixed,kmeans_known_k,True,full,results/experiments/neighbormix_beta_mechanism_20260617/full/Guo/fixed_beta_0.1/seed0,neutral,0.8419856832113954,0.8353301520712294,0.00019623277579960963,-0.030252538395506123,3.0
Guo,fixed_beta_0.1,1,fixed_beta_0.1,beta_control,pca_cosine_knn,0.3,1.0,1.0,0.8999998569488525,0.1000000163912773,fixed,0.1,0.1,0.05,0.02,0.5,anchor,local_mix,0.0,none,0.8933744221879815,0.8673591097379149,0.8607677562585611,0.8234111177717888,0.8808108786673082,0.8673591097379147,0.8765259916060979,0.8583819815094006,12,,fixed,kmeans_known_k,True,full,results/experiments/neighbormix_beta_mechanism_20260617/full/Guo/fixed_beta_0.1/seed1,neutral,0.8386476962743222,0.8341045832709125,0.022120059984238827,-0.010693465499123755,3.0
Guo,fixed_beta_0.1,2,fixed_beta_0.1,beta_control,pca_cosine_knn,0.3,1.0,1.0,0.8999998569488525,0.1000000163912773,fixed,0.1,0.1,0.05,0.02,0.5,anchor,local_mix,0.0,none,0.8531587057010785,0.8415747635719262,0.8142281336736836,0.7715007470641408,0.8408409976680623,0.8415747635719262,0.8479444738782579,0.8353000375468758,12,,fixed,kmeans_known_k,True,full,results/experiments/neighbormix_beta_mechanism_20260617/full/Guo/fixed_beta_0.1/seed2,neutral,0.8312158272070158,0.7820204092535549,-0.016987693533332182,-0.010519662189414025,6.0
Guo,gaussian_noise_matched_anchor_target,0,gaussian_noise_matched_anchor_target,beta_control,pca_cosine_knn,0.3,1.0,1.0,0.9499914385974406,0.050008560847491,truncated_normal,0.0999999999999999,0.1,0.05,0.02,0.5,anchor,gaussian_matched,0.0,none,0.8724191063174114,0.8503820500015309,0.8359442001014544,0.7825106871002729,0.8602079782950105,0.8503820500015309,0.8496668049105369,0.8510985002862353,12,,fixed,kmeans_known_k,True,full,results/experiments/neighbormix_beta_mechanism_20260617/full/Guo/gaussian_noise_matched_anchor_target/seed0,neutral,0.8419856832113954,0.8353301520712294,-0.006041483109941015,-0.052819464970956465,7.0
Guo,gaussian_noise_matched_anchor_target,1,gaussian_noise_matched_anchor_target,beta_control,pca_cosine_knn,0.3,1.0,1.0,0.9500191421508788,0.0499808566197753,truncated_normal,0.0999999999999999,0.1,0.05,0.02,0.5,anchor,gaussian_matched,0.0,none,0.886748844375963,0.856082296182423,0.843963566973413,0.7985368912173089,0.8672655674659673,0.856082296182423,0.8538605076540684,0.8583156772890714,12,,fixed,kmeans_known_k,True,full,results/experiments/neighbormix_beta_mechanism_20260617/full/Guo/gaussian_noise_matched_anchor_target/seed1,neutral,0.8386476962743222,0.8341045832709125,0.005315870699090786,-0.03556769205360366,7.0
Guo,gaussian_noise_matched_anchor_target,2,gaussian_noise_matched_anchor_target,beta_control,pca_cosine_knn,0.3,1.0,1.0,0.950025436848402,0.0499745625387877,truncated_normal,0.0999999999999999,0.1,0.05,0.02,0.5,anchor,gaussian_matched,0.0,none,0.8687211093990755,0.849775828294044,0.8368274943853733,0.7822198923517852,0.8606621411059249,0.849775828294044,0.8506067068305947,0.8489465713893178,12,,fixed,kmeans_known_k,True,full,results/experiments/neighbormix_beta_mechanism_20260617/full/Guo/gaussian_noise_matched_anchor_target/seed2,neutral,0.8312158272070158,0.7820204092535549,0.005611667178357482,0.00019948309823036858,1.0
Guo,global_random_neighbor_control,0,global_random_neighbor_control,global_random_neighbor_control,global_random_excluding_self,0.3,1.0,1.0,0.8999998569488525,0.1000000163912773,fixed,0.0999999999999999,0.0999999999999999,0.05,0.02,0.5,anchor,local_mix,0.0,none,0.8608628659476117,0.8442589806143013,0.8157977229398868,0.8016797092261133,0.8421944007792957,0.8442589806143012,0.8564945407380132,0.8323680820405746,12,,fixed,kmeans_known_k,True,full,results/experiments/neighbormix_beta_mechanism_20260617/full/Guo/global_random_neighbor_control/seed0,neutral,0.8419856832113954,0.8353301520712294,-0.026187960271508604,-0.03365044284511609,8.0
