base_variant,bad_edge_ratio,mean_ari,mean_delta_ari,worst_delta_ari,mean_f1_macro,n_runs
random_beta_uniform_0.1,0.0,0.48064785733628823,0.01397087107117468,-0.11825849598405574,0.6391037648783002,9
fixed_beta_0.1,0.0,0.4795413677121307,0.012864381447017119,-0.07347894488000078,0.6398686110657686,9
fixed_beta_0.05,0.0,0.45712525165483014,-0.009551734610283406,-0.13538073806269257,0.6305107106723367,9
random_beta_uniform_0.1,0.1,0.4989477009565879,0.03227071469147436,-0.1256753814009926,0.632471979302742,9
fixed_beta_0.05,0.1,0.4841965630258872,0.01751957676077369,-0.08087113814995839,0.6386852532948066,9
fixed_beta_0.1,0.1,0.4813574636095631,0.014680477344449562,-0.049592819413894706,0.6499592810403925,9
fixed_beta_0.1,0.2,0.4978356500789814,0.0311586638138679,-0.07190031971859401,0.655291463835044,9
fixed_beta_0.05,0.2,0.4861322662325453,0.019455279967431793,-0.070065235458797,0.6414766697807137,9
random_beta_uniform_0.1,0.2,0.4569095246382118,-0.009767461626901841,-0.20596159528820868,0.6352889105234267,9
random_beta_uniform_0.1,0.4,0.48722981032407,0.020552824058956413,-0.11682706382504071,0.6539015145918781,9
fixed_beta_0.05,0.4,0.4668364414771897,0.00015945521207613413,-0.08175460161108439,0.6547288712387247,9
fixed_beta_0.1,0.4,0.4360000397619378,-0.03067694650317577,-0.19430881761258806,0.5940760930692238,9
