label,n_cells,same_label_edge_ratio,same_label_edge_ratio_weighted,is_minority_q25
0,294,0.9829931972789115,0.9823591709136963,True
1,320,0.906875,0.9101680517196655,False
2,560,0.9482142857142857,0.9465676546096802,False
3,876,0.9066210045662101,0.9080066680908203,False
4,353,0.9977337110481587,0.9976741075515747,False
5,319,0.9210031347962383,0.9200012683868408,True
6,607,0.9772652388797364,0.9759887456893921,False
7,341,0.9964809384164223,0.9962618947029114,False
8,338,0.9674556213017751,0.9673588275909424,False
9,509,0.9449901768172888,0.946226954460144,False
10,28,0.7857142857142857,0.7988533973693848,True
11,1945,0.9593830334190231,0.9608284831047058,False
