label,n_cells,same_label_edge_ratio,same_label_edge_ratio_weighted,is_minority_q25
0,294,0.9843537414965986,0.9833637475967407,True
1,320,0.905625,0.9057976603507996,False
2,560,0.9510714285714286,0.9513642191886902,False
3,876,0.9052511415525114,0.9055147767066956,False
4,353,0.9971671388101983,0.9973694086074829,False
5,319,0.9197492163009404,0.9203799962997437,True
6,607,0.9769357495881383,0.9769452810287476,False
7,341,0.9958944281524926,0.9956974983215332,False
8,338,0.9662721893491124,0.9671823978424072,False
9,509,0.944204322200393,0.945381224155426,False
10,28,0.7714285714285715,0.8045444488525391,True
11,1945,0.9579434447300771,0.958265483379364,False
