label,n_cells,same_label_edge_ratio,same_label_edge_ratio_weighted,is_minority_q25
0,294,0.9843537414965986,0.9819350242614746,True
1,320,0.905625,0.9018232226371765,False
2,560,0.95,0.9480530619621277,False
3,876,0.9059360730593607,0.9123560190200806,False
4,353,0.9971671388101983,0.9969146847724915,False
5,319,0.9222570532915361,0.9183604121208191,True
6,607,0.9772652388797364,0.9796701669692993,False
7,341,0.9964809384164223,0.9952628016471863,False
8,338,0.9662721893491124,0.9696092009544373,False
9,509,0.944204322200393,0.9504404067993164,False
10,28,0.7857142857142857,0.8198142647743225,True
11,1945,0.9584575835475578,0.9604132175445557,False
