label,n_cells,same_label_edge_ratio,same_label_edge_ratio_weighted,is_minority_q25
0,4426,0.9421147763217352,0.9414697885513306,False
1,54,0.9851851851851852,0.9831650257110596,True
2,6285,0.945266507557677,0.9440227150917053,False
3,1868,0.9777301927194861,0.9765278697013855,False
4,85,0.96,0.9584398865699768,False
5,432,0.975925925925926,0.9739922881126404,False
6,252,0.9833333333333333,0.9815128445625305,False
7,67,0.8417910447761194,0.8452693819999695,True
8,1624,0.9774630541871921,0.9753518104553223,False
9,63,0.9650793650793651,0.9591305255889893,True
10,29400,0.9673537414965986,0.9691189527511597,False
11,252,0.9682539682539683,0.9677377343177795,False
