label,n_cells,same_label_edge_ratio,same_label_edge_ratio_weighted,is_minority_q25
0,4426,0.10054225033890646,0.10054222494363785,False
1,54,0.0,0.0,True
2,6285,0.13855210819411296,0.13855209946632385,False
3,1868,0.039400428265524624,0.03940042853355408,False
4,85,0.002352941176470588,0.0023529408499598503,False
5,432,0.005555555555555556,0.005555554758757353,False
6,252,0.003968253968253968,0.003968253266066313,False
7,67,0.0029850746268656717,0.0029850739520043135,True
8,1624,0.03891625615763547,0.038916248828172684,False
9,63,0.0031746031746031746,0.0031746027525514364,True
10,29400,0.6571292517006803,0.6571292877197266,False
11,252,0.007936507936507936,0.007936506532132626,False
