label,n_cells,same_label_edge_ratio,same_label_edge_ratio_weighted,is_minority_q25
0,22,0.08181818181818182,0.08181815594434738,False
1,17,0.058823529411764705,0.05882351100444794,True
2,37,0.0972972972972973,0.09729728102684021,False
3,26,0.046153846153846156,0.04615384340286255,False
4,7,0.0,0.0,True
5,17,0.08235294117647059,0.08235292136669159,True
6,54,0.17037037037037037,0.17037035524845123,False
7,42,0.13333333333333333,0.13333332538604736,False
8,40,0.125,0.12499997764825821,False
9,15,0.02666666666666667,0.026666665449738503,True
10,24,0.05,0.04999999329447746,False
