label,n_cells,same_label_edge_ratio,same_label_edge_ratio_weighted,is_minority_q25
0,252,0.9873015873015873,0.988602340221405,True
1,1091,0.9604032997250229,0.9609032869338989,False
2,792,0.9593434343434344,0.9587931036949158,False
3,558,0.9888888888888889,0.9888736605644226,False
4,535,0.9693457943925233,0.9701730608940125,False
5,817,0.9689106487148103,0.968805193901062,False
6,398,0.9165829145728643,0.9169866442680359,True
7,2237,0.9562807331247206,0.9570007920265198,False
8,479,0.881419624217119,0.882921576499939,False
9,1372,0.9637026239067056,0.9643077850341797,False
10,553,0.94249547920434,0.9433441162109375,False
11,1702,0.9488836662749707,0.9490633010864258,False
12,1759,0.9736213757816942,0.9738638997077942,False
13,313,0.810223642172524,0.81247878074646,True
14,48,1.0,1.0,True
15,2945,0.999320882852292,0.9996025562286377,False
16,10888,0.9874724467303453,0.9877969026565552,False
17,91,1.0,1.0,True
