label,n_cells,same_label_edge_ratio,same_label_edge_ratio_weighted,is_minority_q25
0,6514,0.9910346945041449,0.9909442067146301,False
1,472,0.9597457627118644,0.9580336809158325,False
2,1218,0.8998357963875205,0.898836612701416,False
3,1064,0.45939849624060153,0.4661981165409088,False
4,2703,0.802441731409545,0.8020671010017395,False
5,1694,0.7087367178276269,0.7149524688720703,False
6,826,0.95181598062954,0.9521853923797607,False
7,664,0.9644578313253012,0.9622524380683899,False
8,36,0.6444444444444445,0.648140549659729,True
9,36,0.6166666666666667,0.6358239054679871,True
10,589,0.9894736842105263,0.9894402027130127,False
11,114,0.9736842105263158,0.975622296333313,True
12,717,0.8786610878661087,0.8799241185188293,False
13,1862,0.9955961331901182,0.9950575828552246,False
14,155,0.9883870967741936,0.9886462688446045,True
