label,n_cells,same_label_edge_ratio,same_label_edge_ratio_weighted,is_minority_q25
0,6514,0.3512434755910347,0.35124343633651733,False
1,472,0.02076271186440678,0.020762711763381958,False
2,1218,0.06502463054187192,0.06502461433410645,False
3,1064,0.062406015037593986,0.062406010925769806,False
4,2703,0.14901960784313725,0.14901958405971527,False
5,1694,0.08925619834710743,0.0892561823129654,False
6,826,0.04188861985472155,0.04188861697912216,False
7,664,0.03855421686746988,0.03855420649051666,False
8,36,0.0,0.0,True
9,36,0.005555555555555556,0.0055555542930960655,True
10,589,0.026825127334465196,0.026825126260519028,False
11,114,0.010526315789473684,0.010526314377784729,True
12,717,0.04184100418410042,0.04184099659323692,False
13,1862,0.10053705692803437,0.10053704679012299,False
14,155,0.003870967741935484,0.0038709670770913363,True
