label,n_cells,same_label_edge_ratio,same_label_edge_ratio_weighted,is_minority_q25
0,6514,0.9910961007061713,0.9909716844558716,False
1,472,0.9597457627118644,0.9594039916992188,False
2,1218,0.9,0.9029755592346191,False
3,1064,0.45827067669172933,0.469774067401886,False
4,2703,0.802441731409545,0.796653151512146,False
5,1694,0.7077922077922078,0.7173611521720886,False
6,826,0.95181598062954,0.9547850489616394,False
7,664,0.9647590361445784,0.9631142020225525,False
8,36,0.6444444444444445,0.6641697287559509,True
9,36,0.6166666666666667,0.6243312358856201,True
10,589,0.9894736842105263,0.9883274435997009,False
11,114,0.9736842105263158,0.968828022480011,True
12,717,0.8783821478382148,0.8862131237983704,False
13,1862,0.9959183673469387,0.9952148795127869,False
14,155,0.9883870967741936,0.9854517579078674,True
