label,n_cells,same_label_edge_ratio,same_label_edge_ratio_weighted,is_minority_q25
0,842,0.8831353919239905,0.8818451166152954,False
1,70,0.92,0.9181632995605469,True
2,334,0.937125748502994,0.9343941807746887,False
3,1015,0.7324137931034482,0.741611897945404,False
4,443,0.7918735891647856,0.7869181632995605,False
5,400,0.74,0.738005518913269,False
6,314,0.8923566878980892,0.8903070092201233,False
7,305,0.8367213114754098,0.8324048519134521,False
8,224,0.9696428571428571,0.9696320295333862,True
9,239,0.9497907949790795,0.9488176703453064,True
