label,n_cells,same_label_edge_ratio,same_label_edge_ratio_weighted,is_minority_q25
0,842,0.8836104513064132,0.8834946155548096,False
1,70,0.9228571428571428,0.9257532358169556,True
2,334,0.9377245508982036,0.938380777835846,False
3,1015,0.73064039408867,0.7336943745613098,False
4,443,0.7909706546275395,0.7906802892684937,False
5,400,0.7405,0.7403544783592224,False
6,314,0.8923566878980892,0.8930737972259521,False
7,305,0.8373770491803278,0.8407443761825562,False
8,224,0.9696428571428571,0.9702629446983337,True
9,239,0.9506276150627615,0.9499199986457825,True
