label,n_cells,same_label_edge_ratio,same_label_edge_ratio_weighted,is_minority_q25
0,842,0.8871733966745843,0.8877115249633789,False
1,70,0.9228571428571428,0.9273390769958496,True
2,334,0.9413173652694611,0.940855085849762,False
3,1015,0.7491625615763546,0.7516641020774841,False
4,443,0.7796839729119639,0.7802916169166565,False
5,400,0.735,0.7351925373077393,False
6,314,0.8955414012738854,0.8964886665344238,False
7,305,0.8537704918032787,0.8558942675590515,False
8,224,0.9732142857142857,0.9734877347946167,True
9,239,0.9506276150627615,0.9507314562797546,True
