label,n_cells,same_label_edge_ratio,same_label_edge_ratio_weighted,is_minority_q25
0,842,0.8836104513064132,0.8889098763465881,False
1,70,0.9228571428571428,0.9194297790527344,True
2,334,0.9377245508982036,0.9344614148139954,False
3,1015,0.73064039408867,0.7456179857254028,False
4,443,0.7909706546275395,0.7870139479637146,False
5,400,0.7405,0.7322381734848022,False
6,314,0.8923566878980892,0.8924680352210999,False
7,305,0.8373770491803278,0.8289070129394531,False
8,224,0.9696428571428571,0.9660373330116272,True
9,239,0.9506276150627615,0.9493317604064941,True
