method,group,mean_ari,mean_delta_ari,median_delta_ari,worst_delta_ari,mean_f1_macro,n_runs
consensus_neighbormix_threshold0.4,negative,0.43833995778184653,-0.028337028483267024,-0.0034302257246342505,-0.1438214193585194,0.606220505163464,9
consensus_neighbormix_threshold0.4,neutral,0.8362985215144523,-0.000984547383125589,-0.004389828548774677,-0.01728991074576891,0.806777799384018,3
consensus_neighbormix_threshold0.4,optional,0.9223202677135616,0.02568686924236574,-0.0011202435952113454,-0.006988873996823797,0.8691469836489941,6
consensus_neighbormix_threshold0.4,positive,0.6906492942895782,0.04020075863803635,0.002627836290430452,-0.15066624411188012,0.7345197060416101,6
global_random_neighbor_control,negative,0.424716612264952,-0.041960374000161525,-0.00680245522086087,-0.1812752991443422,0.5868315125337396,9
global_random_neighbor_control,neutral,0.8239311882120113,-0.013351880685566512,-0.025055953564537492,-0.026187960271508604,0.7974350663591814,3
global_random_neighbor_control,optional,0.9224563511893334,0.025822952718137466,-0.002205698179444049,-0.028211384742486634,0.8622394531800205,6
global_random_neighbor_control,positive,0.6605500177417482,0.010101482090206301,-0.01032040022180758,-0.02576016496201028,0.7451403643948593,6
mutual_knn_neighbormix,negative,0.46225034797463493,-0.004426638290478624,0.0016326107467936612,-0.175746611222598,0.6450165376875469,9
mutual_knn_neighbormix,neutral,0.836987839077477,-0.00029522982010084703,-0.0031029804579049136,-0.015502163959831283,0.8236463750688782,3
mutual_knn_neighbormix,optional,0.9227346708303541,0.026101272359158174,0.0008055087074149148,-0.00936560571228262,0.8741913503278517,6
mutual_knn_neighbormix,positive,0.7027223703973574,0.05227383474581552,0.0034924384919262086,-0.03597527444339832,0.7477357263168448,6
neighbormix_scmae,negative,0.4795413677121307,0.012864381447017119,0.0019031695533751058,-0.07347894488000078,0.6398686110657686,9
neighbormix_scmae,neutral,0.8390592686398133,0.001776199742235418,0.00019623277579960963,-0.016987693533332182,0.7999964928372177,3
neighbormix_scmae,optional,0.9214576504961816,0.024824252024985744,-0.0010980660620030225,-0.00936560571228262,0.8729783585746597,6
neighbormix_scmae,positive,0.670817850998693,0.020369315347151123,0.001462241615957982,-0.01700332106027247,0.7577816419763844,6
nm_scmae_nomix,negative,0.46667698626511356,0.0,0.0,0.0,0.6365307819101257,9
nm_scmae_nomix,neutral,0.8372830688975778,0.0,0.0,0.0,0.8171517148652323,3
nm_scmae_nomix,optional,0.8966333984711959,0.0,0.0,0.0,0.8591499165757798,6
nm_scmae_nomix,positive,0.6504485356515419,0.0,0.0,0.0,0.749535985215525,6
random_beta_uniform_0.1,negative,0.48064785733628823,0.01397087107117468,0.006298718410773674,-0.11825849598405574,0.6391037648783002,9
random_beta_uniform_0.1,neutral,0.8491228838985219,0.011839815000944073,0.0035965034386575834,0.002986006330937041,0.8393304465834781,3
random_beta_uniform_0.1,optional,0.9248624289491302,0.028229030477934253,0.002783390906305694,-0.008021734232982025,0.8681632985122426,6
random_beta_uniform_0.1,positive,0.8230848561201558,0.17263632046861385,0.18033392912621593,-0.005474830662580588,0.7783751216649798,6
random_edge_dropout_keep0.5,negative,0.469691397798514,0.0030144115334004235,-0.00023684198709450488,-0.14954223466410577,0.62771616909516,9
random_edge_dropout_keep0.5,neutral,0.8357609035612491,-0.0015221653363287253,-0.0025614132728922767,-0.016411473638781704,0.8064269827275883,3
random_edge_dropout_keep0.5,optional,0.9227244025230732,0.026091004051877326,0.0013575344374777698,-0.009430506320292187,0.8655496076947108,6
random_edge_dropout_keep0.5,positive,0.6484818017729342,-0.001966733878607648,0.001093830425494935,-0.025167919062069166,0.7335460112600968,6
random_pseudo_gate_p0.5,negative,0.46253750644506436,-0.004139479820049215,0.002059909533575044,-0.17312931840273454,0.6136451685424613,9
random_pseudo_gate_p0.5,neutral,0.8410496146349424,0.0037665457373646425,0.0009680283970837644,-0.010004481112032226,0.8017628903716144,3
random_pseudo_gate_p0.5,optional,0.9080519722943982,0.01141857382320229,-0.005578286225991935,-0.011576187338297017,0.8570263127075961,6
random_pseudo_gate_p0.5,positive,0.6689946496283276,0.018546113976785645,-0.0007136113272898092,-0.0275377043077355,0.7458740210504248,6
snn_neighbormix,negative,0.4791411921804925,0.012464205915378957,0.0014059310081485643,-0.16541364755520055,0.6497833157836708,9
snn_neighbormix,neutral,0.8356797908761253,-0.0016032780214525106,-0.004833395900101456,-0.01738507164176606,0.823902312853638,3
snn_neighbormix,optional,0.9245289949491006,0.027895596477904776,0.003372828292506902,-0.006499286261850479,0.8702046385425336,6
snn_neighbormix,positive,0.6687313504448295,0.01828281479328751,-0.0031205471105075766,-0.025175109080427083,0.7093734011299313,6
