dataset,group,seed,method,ari,nmi,acc,f1_macro,delta_ari_vs_nomix,delta_f1_vs_nomix,run_dir
Guo,neutral,0,consensus_neighbormix_threshold0.4,0.8375958546626208,0.8510465265392726,0.8674884437596302,0.8257073931876473,-0.004389828548774677,-0.009622758883582105,results/experiments/neighbormix_stochastic_regularization_20260616/Guo/consensus_neighbormix_threshold0.4/seed0
Guo,neutral,0,global_random_neighbor_control,0.8157977229398868,0.8442589806143013,0.8608628659476117,0.8016797092261133,-0.026187960271508604,-0.03365044284511609,results/experiments/neighbormix_stochastic_regularization_20260616/Guo/global_random_neighbor_control/seed0
Guo,neutral,0,mutual_knn_neighbormix,0.8388827027534905,0.851716691629951,0.8691833590138675,0.8269812118144535,-0.0031029804579049136,-0.008348940256775905,results/experiments/neighbormix_stochastic_regularization_20260616/Guo/mutual_knn_neighbormix/seed0
Guo,neutral,0,neighbormix_scmae,0.842181915987195,0.8554820723681416,0.8710323574730354,0.8050776136757233,0.00019623277579960963,-0.030252538395506123,results/experiments/neighbormix_stochastic_regularization_20260616/Guo/neighbormix_scmae/seed0
Guo,neutral,0,nm_scmae_nomix,0.8419856832113954,0.8565963587218847,0.8736517719568567,0.8353301520712294,0.0,0.0,results/experiments/neighbormix_stochastic_regularization_20260616/Guo/nm_scmae_nomix/seed0
Guo,neutral,0,random_beta_uniform_0.1,0.8449716895423325,0.8562918999444664,0.8730354391371341,0.8068809678050997,0.002986006330937041,-0.028449184266129746,results/experiments/neighbormix_stochastic_regularization_20260616/Guo/random_beta_uniform_0.1/seed0
Guo,neutral,0,random_edge_dropout_keep0.5,0.8394242699385032,0.8528732083311553,0.8699537750385208,0.830514357465992,-0.0025614132728922767,-0.0048157946052374,results/experiments/neighbormix_stochastic_regularization_20260616/Guo/random_edge_dropout_keep0.5/seed0
Guo,neutral,0,random_pseudo_gate_p0.5,0.8429537116084792,0.8544519136417428,0.8711864406779661,0.8047871526824967,0.0009680283970837644,-0.030542999388732728,results/experiments/neighbormix_stochastic_regularization_20260616/Guo/random_pseudo_gate_p0.5/seed0
Guo,neutral,0,snn_neighbormix,0.837152287311294,0.8504556117114322,0.8676425269645609,0.827341921672368,-0.004833395900101456,-0.007988230398861429,results/experiments/neighbormix_stochastic_regularization_20260616/Guo/snn_neighbormix/seed0
Guo,neutral,1,consensus_neighbormix_threshold0.4,0.857373793419489,0.8651004495545688,0.8919876733436055,0.822260575917437,0.01872609714516682,-0.011844007353475572,results/experiments/neighbormix_stochastic_regularization_20260616/Guo/consensus_neighbormix_threshold0.4/seed1
Guo,neutral,1,global_random_neighbor_control,0.8498359680536688,0.8605737838042863,0.888597842835131,0.8210421616409737,0.01118827177934656,-0.01306242162993887,results/experiments/neighbormix_stochastic_regularization_20260616/Guo/global_random_neighbor_control/seed1
Guo,neutral,1,mutual_knn_neighbormix,0.8563671512317559,0.8642740339260689,0.8899845916795069,0.8205540497429896,0.017719454957433656,-0.013550533527922903,results/experiments/neighbormix_stochastic_regularization_20260616/Guo/mutual_knn_neighbormix/seed1
Guo,neutral,1,neighbormix_scmae,0.8607677562585611,0.8673591097379149,0.8933744221879815,0.8234111177717888,0.022120059984238827,-0.010693465499123755,results/experiments/neighbormix_stochastic_regularization_20260616/Guo/neighbormix_scmae/seed1
Guo,neutral,1,nm_scmae_nomix,0.8386476962743222,0.8518952494458167,0.8727272727272727,0.8341045832709125,0.0,0.0,results/experiments/neighbormix_stochastic_regularization_20260616/Guo/nm_scmae_nomix/seed1
Guo,neutral,1,random_beta_uniform_0.1,0.8675846315075598,0.8688892376168649,0.901848998459168,0.8627802545706321,0.028936935233237593,0.028675671299719596,results/experiments/neighbormix_stochastic_regularization_20260616/Guo/random_beta_uniform_0.1/seed1
Guo,neutral,1,random_edge_dropout_keep0.5,0.85305408717701,0.8628499465428232,0.8858243451463791,0.8175456081786128,0.014406390902687805,-0.016558975092299755,results/experiments/neighbormix_stochastic_regularization_20260616/Guo/random_edge_dropout_keep0.5/seed1
Guo,neutral,1,random_pseudo_gate_p0.5,0.8589837862013646,0.866454594636755,0.8935285053929122,0.8239426827960878,0.02033608992704239,-0.010161900474824681,results/experiments/neighbormix_stochastic_regularization_20260616/Guo/random_pseudo_gate_p0.5/seed1
Guo,neutral,1,snn_neighbormix,0.8560563297518322,0.8645261442932788,0.8901386748844375,0.821238096923214,0.017408633477509983,-0.012866486347698491,results/experiments/neighbormix_stochastic_regularization_20260616/Guo/snn_neighbormix/seed1
Guo,neutral,2,consensus_neighbormix_threshold0.4,0.8139259164612469,0.8416094043196255,0.8539291217257319,0.7723654290469696,-0.01728991074576891,-0.009654980206585284,results/experiments/neighbormix_stochastic_regularization_20260616/Guo/consensus_neighbormix_threshold0.4/seed2
Guo,neutral,2,global_random_neighbor_control,0.8061598736424783,0.8374210238347837,0.8494607087827427,0.7695833282104569,-0.025055953564537492,-0.01243708104309793,results/experiments/neighbormix_stochastic_regularization_20260616/Guo/global_random_neighbor_control/seed2
Guo,neutral,2,mutual_knn_neighbormix,0.8157136632471845,0.8442431700162124,0.8560862865947612,0.8234038636491912,-0.015502163959831283,0.04138345439563629,results/experiments/neighbormix_stochastic_regularization_20260616/Guo/mutual_knn_neighbormix/seed2
Guo,neutral,2,neighbormix_scmae,0.8142281336736836,0.8415747635719262,0.8531587057010785,0.7715007470641408,-0.016987693533332182,-0.010519662189414025,results/experiments/neighbormix_stochastic_regularization_20260616/Guo/neighbormix_scmae/seed2
Guo,neutral,2,nm_scmae_nomix,0.8312158272070158,0.8475680580958956,0.8651771956856703,0.7820204092535549,0.0,0.0,results/experiments/neighbormix_stochastic_regularization_20260616/Guo/nm_scmae_nomix/seed2
Guo,neutral,2,random_beta_uniform_0.1,0.8348123306456734,0.8528181168588098,0.8705701078582434,0.8483301173747023,0.0035965034386575834,0.06630970812114745,results/experiments/neighbormix_stochastic_regularization_20260616/Guo/random_beta_uniform_0.1/seed2
Guo,neutral,2,random_edge_dropout_keep0.5,0.8148043535682341,0.8403218735114186,0.8533127889060093,0.7712209825381598,-0.016411473638781704,-0.010799426715395022,results/experiments/neighbormix_stochastic_regularization_20260616/Guo/random_edge_dropout_keep0.5/seed2
Guo,neutral,2,random_pseudo_gate_p0.5,0.8212113460949836,0.8441878837512424,0.8588597842835131,0.7765588356362586,-0.010004481112032226,-0.005461573617296267,results/experiments/neighbormix_stochastic_regularization_20260616/Guo/random_pseudo_gate_p0.5/seed2
