dataset_group,method,n_datasets,mean_ari,mean_delta_ari_vs_none,mean_delta_ari_vs_fixed,datasets_with_positive_delta_vs_none,datasets_with_positive_delta_vs_fixed
positive,rg_none,3,0.5752974618848201,0.0,0.012932263860282605,0,2
positive,rg_fixed,3,0.5623651980245374,-0.012932263860282605,0.0,1,0
positive,rg_mutual,3,0.5854489857722659,0.01015152388744581,0.023083787747728415,2,2
positive,rg_reliability,3,0.5945216818612723,0.019224219976452215,0.03215648383673482,2,2
positive,rg_random,3,0.5926612082750796,0.01736374639025955,0.03029601025054215,2,2
positive,rg_far,3,0.5801135995891319,0.004816137704311854,0.017748401564594455,1,2
negative,rg_none,3,0.48360023662968465,0.0,0.011663319605289421,0,2
negative,rg_fixed,3,0.4719369170243952,-0.011663319605289421,0.0,1,0
negative,rg_mutual,3,0.44347652167358126,-0.04012371495610333,-0.02846039535081391,1,1
negative,rg_reliability,3,0.4553187960861102,-0.028281440543574444,-0.016618120938285026,1,1
negative,rg_random,3,0.4745950266980579,-0.009005209931626703,0.00265810967366272,2,1
negative,rg_far,3,0.46120519128588694,-0.022395045343797697,-0.010731725738508275,0,1
neutral,rg_none,2,0.894025213033487,0.0,-0.03231853649462742,0,0
neutral,rg_fixed,2,0.9263437495281145,0.03231853649462742,0.0,2,0
neutral,rg_mutual,2,0.9278051199229269,0.03377990688943997,0.001461370394812552,2,1
neutral,rg_reliability,2,0.9273719107989788,0.033346697765491776,0.0010281612708643586,2,1
neutral,rg_random,2,0.9337847021332302,0.039759489099743195,0.007440952605115773,2,1
neutral,rg_far,2,0.8293832828906675,-0.06464193014281953,-0.09696046663744695,1,0
all,rg_none,8,0.6205929402013111,0.0,0.0011437096759326542,0,4
all,rg_fixed,8,0.6194492305253784,-0.0011437096759326542,0.0,4,0
all,rg_mutual,8,0.6177983452729244,-0.0027945949283865786,-0.0016508852524539225,5,4
all,rg_reliability,8,0.6255331569300131,0.004940216728702108,0.006083926404634761,5,4
all,rg_random,8,0.6336672636482341,0.013074323446923117,0.01421803312285577,6,4
all,rg_far,8,0.5978403673007989,-0.022752572900512073,-0.02160886322457942,2,3
