source_root,dataset_group,dataset,method,variant,seed,epochs,mix_mode,gate_mode,acc,nmi,ari,f1_macro,fmi,delta_ari_vs_none,delta_ari_vs_fixed,path
rg_phase1_seed42_e80,negative,Macosko,rg_far,rg_nm_v1_far,42,80,far,constant,0.5715274058203892,0.6355194741593285,0.4042522757032014,0.6735885456270624,0.6217906837259609,-0.005799505765296975,-0.0023310195280934476,results/formal/rg_phase1_seed42_e80/Macosko/rg_far/seed42
rg_phase1_seed42_e80,negative,Macosko,rg_fixed,rg_nm_v1_fixed,42,80,fixed,constant,0.5613506516693447,0.6360887605008972,0.40658329523129483,0.6376811728374813,0.6236253600158652,-0.0034684862372035274,0.0,results/formal/rg_phase1_seed42_e80/Macosko/rg_fixed/seed42
rg_phase1_seed42_e80,negative,Macosko,rg_mutual,rg_nm_v1_mutual,42,80,mutual,topology,0.4803383324406356,0.6132864170897664,0.34647663979711796,0.5403412313599754,0.5743537715465789,-0.0635751416713804,-0.06010665543417687,results/formal/rg_phase1_seed42_e80/Macosko/rg_mutual/seed42
rg_phase1_seed42_e80,negative,Macosko,rg_none,rg_nm_v1_none,42,80,none,none,0.5176977325477593,0.6219937052585729,0.41005178146849836,0.5497593568636084,0.6263767929627565,0.0,0.0034684862372035274,results/formal/rg_phase1_seed42_e80/Macosko/rg_none/seed42
rg_phase1_seed42_e80,negative,Macosko,rg_random,rg_nm_v1_random,42,80,random,constant,0.5086591680057133,0.6246110682772734,0.3918639951550074,0.5354161763075976,0.611850818932344,-0.01818778631349094,-0.014719300076287412,results/formal/rg_phase1_seed42_e80/Macosko/rg_random/seed42
rg_phase1_seed42_e80,negative,Macosko,rg_reliability,rg_nm_v1_reliability,42,80,reliability,topology,0.5028789501874665,0.601592133253014,0.3446655686846679,0.6157032255567024,0.5730954794837229,-0.06538621278383044,-0.06191772654662692,results/formal/rg_phase1_seed42_e80/Macosko/rg_reliability/seed42
rg_phase1_seed42_e80,positive,Melanoma_5K,rg_far,rg_nm_v1_far,42,80,far,constant,0.7292266784843785,0.7233958661462843,0.6443810445047868,0.6511234133276914,0.7147340291506016,-0.021264821184989846,-0.02096690616040553,results/formal/rg_phase1_seed42_e80/Melanoma_5K/rg_far/seed42
rg_phase1_seed42_e80,positive,Melanoma_5K,rg_fixed,rg_nm_v1_fixed,42,80,fixed,constant,0.7372036339463771,0.7328185376133155,0.6653479506651924,0.6525174952566144,0.7317252975448125,-0.0002979150245843165,0.0,results/formal/rg_phase1_seed42_e80/Melanoma_5K/rg_fixed/seed42
rg_phase1_seed42_e80,positive,Melanoma_5K,rg_mutual,rg_nm_v1_mutual,42,80,mutual,topology,0.7345446487923776,0.7327304745449688,0.6630292205386827,0.6530282423202842,0.7299058617606772,-0.0026166451510939437,-0.002318730126509627,results/formal/rg_phase1_seed42_e80/Melanoma_5K/rg_mutual/seed42
rg_phase1_seed42_e80,positive,Melanoma_5K,rg_none,rg_nm_v1_none,42,80,none,none,0.7374252160425437,0.7353389707886173,0.6656458656897767,0.6515268801333248,0.7319574158076804,0.0,0.0002979150245843165,results/formal/rg_phase1_seed42_e80/Melanoma_5K/rg_none/seed42
rg_phase1_seed42_e80,positive,Melanoma_5K,rg_random,rg_nm_v1_random,42,80,random,constant,0.7325504099268779,0.7326332849811661,0.6568189738699616,0.6527343122931178,0.7249162077100444,-0.008826891819815108,-0.008528976795230792,results/formal/rg_phase1_seed42_e80/Melanoma_5K/rg_random/seed42
rg_phase1_seed42_e80,positive,Melanoma_5K,rg_reliability,rg_nm_v1_reliability,42,80,reliability,topology,0.7345446487923776,0.7302366307244191,0.6579231820466342,0.6527022968723094,0.7257240789432433,-0.007722683643142436,-0.00742476861855812,results/formal/rg_phase1_seed42_e80/Melanoma_5K/rg_reliability/seed42
rg_phase1_seed42_e80,neutral,Pollen,rg_far,rg_nm_v1_far,42,80,far,constant,0.8803986710963455,0.927932022046436,0.912886904416493,0.7674517674517674,0.9230652077180246,0.005968321865142623,-0.008090850974122987,results/formal/rg_phase1_seed42_e80/Pollen/rg_far/seed42
rg_phase1_seed42_e80,neutral,Pollen,rg_fixed,rg_nm_v1_fixed,42,80,fixed,constant,0.8970099667774086,0.9292713868105191,0.920977755390616,0.7700680272108843,0.9303688262692764,0.01405917283926561,0.0,results/formal/rg_phase1_seed42_e80/Pollen/rg_fixed/seed42
rg_phase1_seed42_e80,neutral,Pollen,rg_mutual,rg_nm_v1_mutual,42,80,mutual,topology,0.8770764119601329,0.9229589200368019,0.9105606031023149,0.7580512546187602,0.9209977220720089,0.00364202055096452,-0.01041715228830109,results/formal/rg_phase1_seed42_e80/Pollen/rg_mutual/seed42
rg_phase1_seed42_e80,neutral,Pollen,rg_none,rg_nm_v1_none,42,80,none,none,0.8737541528239202,0.9164274666799866,0.9069185825513504,0.7387420066564452,0.9178133509416653,0.0,-0.01405917283926561,results/formal/rg_phase1_seed42_e80/Pollen/rg_none/seed42
rg_phase1_seed42_e80,neutral,Pollen,rg_random,rg_nm_v1_random,42,80,random,constant,0.8704318936877077,0.9149578544637177,0.9029947205672677,0.7296443866211308,0.9144467835940652,-0.003923861984082677,-0.017983034823348287,results/formal/rg_phase1_seed42_e80/Pollen/rg_random/seed42
rg_phase1_seed42_e80,neutral,Pollen,rg_reliability,rg_nm_v1_reliability,42,80,reliability,topology,0.8903654485049833,0.9271454216103611,0.9117169509043687,0.7472943722943722,0.9223663818740375,0.004798368353018279,-0.009260804486247332,results/formal/rg_phase1_seed42_e80/Pollen/rg_reliability/seed42
rg_phase1_seed42_e80,positive,Quake_Smart-seq2_Lung,rg_far,rg_nm_v1_far,42,80,far,constant,0.6772076372315036,0.7990284035895283,0.6388426123052621,0.6032794819946073,0.7276437738823309,-0.11442334937598408,0.025537558119314796,results/formal/rg_phase1_seed42_e80/Quake_Smart-seq2_Lung/rg_far/seed42
rg_phase1_seed42_e80,positive,Quake_Smart-seq2_Lung,rg_fixed,rg_nm_v1_fixed,42,80,fixed,constant,0.6831742243436754,0.7760049241902299,0.6133050541859473,0.6014755137147438,0.70462940268299,-0.13996090749529888,0.0,results/formal/rg_phase1_seed42_e80/Quake_Smart-seq2_Lung/rg_fixed/seed42
rg_phase1_seed42_e80,positive,Quake_Smart-seq2_Lung,rg_mutual,rg_nm_v1_mutual,42,80,mutual,topology,0.7410501193317423,0.8283090409797859,0.7619966173537662,0.6222662009956671,0.8201488281056725,0.008730655672520071,0.14869156316781895,results/formal/rg_phase1_seed42_e80/Quake_Smart-seq2_Lung/rg_mutual/seed42
rg_phase1_seed42_e80,positive,Quake_Smart-seq2_Lung,rg_none,rg_nm_v1_none,42,80,none,none,0.7243436754176611,0.8212833453341,0.7532659616812462,0.6045348754506278,0.8141535938071792,0.0,0.13996090749529888,results/formal/rg_phase1_seed42_e80/Quake_Smart-seq2_Lung/rg_none/seed42
rg_phase1_seed42_e80,positive,Quake_Smart-seq2_Lung,rg_random,rg_nm_v1_random,42,80,random,constant,0.7243436754176611,0.7961808843007355,0.7184516832991257,0.6031518346842738,0.7856200030853169,-0.03481427838212048,0.1051466291131784,results/formal/rg_phase1_seed42_e80/Quake_Smart-seq2_Lung/rg_random/seed42
rg_phase1_seed42_e80,positive,Quake_Smart-seq2_Lung,rg_reliability,rg_nm_v1_reliability,42,80,reliability,topology,0.7583532219570406,0.8219491916337679,0.7401601894929474,0.7092065778757775,0.802423334038605,-0.013105772188298781,0.1268551353070001,results/formal/rg_phase1_seed42_e80/Quake_Smart-seq2_Lung/rg_reliability/seed42
rg_phase1_seed42_e80,positive,SRP182008,rg_far,rg_nm_v1_far,42,80,far,constant,0.662942134083173,0.6318510238754224,0.49420620702280804,0.5497620464193048,0.5561601374516982,0.03419858053384678,0.07396095800013625,results/formal/rg_phase1_seed42_e80/SRP182008/rg_far/seed42
rg_phase1_seed42_e80,positive,SRP182008,rg_fixed,rg_nm_v1_fixed,42,80,fixed,constant,0.5862068965517241,0.6153971842404836,0.4202452490226718,0.5420772507551092,0.48052967377894057,-0.03976237746628947,0.0,results/formal/rg_phase1_seed42_e80/SRP182008/rg_fixed/seed42
rg_phase1_seed42_e80,positive,SRP182008,rg_mutual,rg_nm_v1_mutual,42,80,mutual,topology,0.5919046914311085,0.612216164070248,0.39402991835452,0.5274438127901581,0.47412112101639337,-0.06597770813444126,-0.026215330668151793,results/formal/rg_phase1_seed42_e80/SRP182008/rg_mutual/seed42
rg_phase1_seed42_e80,positive,SRP182008,rg_none,rg_nm_v1_none,42,80,none,none,0.6115879828326181,0.633153508835296,0.46000762648896126,0.5671453485179491,0.5146255104868303,0.0,0.03976237746628947,results/formal/rg_phase1_seed42_e80/SRP182008/rg_none/seed42
rg_phase1_seed42_e80,positive,SRP182008,rg_random,rg_nm_v1_random,42,80,random,constant,0.607888116027823,0.6221188456950438,0.44073382821041196,0.5666724698820856,0.4980379664615411,-0.019273798278549303,0.020488579187740164,results/formal/rg_phase1_seed42_e80/SRP182008/rg_random/seed42
