dataset_group,dataset,method,n_seeds,seeds,ari_mean,ari_std,acc_mean,nmi_mean,delta_ari_vs_none_mean,delta_ari_vs_fixed_mean,wins_vs_none,losses_vs_none,wins_vs_fixed,losses_vs_fixed,rank_by_ari_mean
negative,Macosko,rg_far,3,42;2024;3407,0.39335357930553105,0.009440885776153315,0.540647503422008,0.623708128407033,-0.055947390682228426,-0.04152992893074579,1,2,1,2,5
negative,Macosko,rg_fixed,3,42;2024;3407,0.43488350823627686,0.07059722978038038,0.5583452359697673,0.6337956208378267,-0.014417461751482638,0.0,1,2,0,0,3
negative,Macosko,rg_mutual,3,42;2024;3407,0.34373778932693755,0.002903868669474667,0.4897711718145569,0.6070495499224929,-0.10556318066082192,-0.09114571890933927,0,3,0,3,6
negative,Macosko,rg_none,3,42;2024;3407,0.4493009699877595,0.0889654693288515,0.5610084508718681,0.6345608808007241,0.0,0.014417461751482638,0,0,2,1,2
negative,Macosko,rg_random,3,42;2024;3407,0.46227453521146067,0.06148392826357943,0.5970139260846278,0.6528571650436151,0.012973565223701208,0.027391026975183846,1,2,1,2,1
negative,Macosko,rg_reliability,3,42;2024;3407,0.39933190916993716,0.09223136300666575,0.5407218948997203,0.6306435315985264,-0.0499690608178223,-0.035551599066339666,1,2,0,3,4
positive,Melanoma_5K,rg_far,3,42;2024;3407,0.6454283910587862,0.001840139744423149,0.7286357928946008,0.7200825973870162,-0.020400406090728167,-0.020576607856558387,0,3,0,3,6
positive,Melanoma_5K,rg_fixed,3,42;2024;3407,0.6660049989153447,0.005460976646082111,0.7391978728118768,0.7344683246720773,0.00017620176583021951,0.0,1,2,0,0,1
positive,Melanoma_5K,rg_mutual,3,42;2024;3407,0.661913612922338,0.006896070555040059,0.7351355343821553,0.7331305015521561,-0.003915184227176442,-0.004091385993006662,0,3,0,3,3
positive,Melanoma_5K,rg_none,3,42;2024;3407,0.6658287971495145,0.004356253065815803,0.739271733510599,0.7343401826584577,0.0,-0.00017620176583021951,0,0,2,1,2
positive,Melanoma_5K,rg_random,3,42;2024;3407,0.6577876196783761,0.00278487009447655,0.7334367383115444,0.7326322165282292,-0.008041177471138417,-0.008217379236968636,0,3,0,3,5
positive,Melanoma_5K,rg_reliability,3,42;2024;3407,0.6604309347222942,0.007164420494184378,0.7372774946450994,0.7318547824438859,-0.005397862427220253,-0.005574064193050472,0,3,0,3,4
neutral,Pollen,rg_far,3,42;2024;3407,0.9116814156725545,0.006176659488133787,0.8892580287929125,0.928764078937376,0.0009767608174288493,-0.0022747328859563285,2,1,1,2,4
neutral,Pollen,rg_fixed,3,42;2024;3407,0.9139561485585108,0.006114936663769226,0.8870431893687708,0.9283691472437867,0.0032514937033851776,0.0,2,1,0,0,1
neutral,Pollen,rg_mutual,3,42;2024;3407,0.913315468409269,0.002868615555975706,0.8837209302325582,0.9286203974371166,0.0026108135541434616,-0.0006406801492417161,2,1,2,1,2
neutral,Pollen,rg_none,3,42;2024;3407,0.9107046548551256,0.00561604268767888,0.8803986710963455,0.9224743532474927,0.0,-0.0032514937033851776,0,0,1,2,6
neutral,Pollen,rg_random,3,42;2024;3407,0.913282190255919,0.009074599300122067,0.8859357696567,0.9298366518431384,0.0025775354007933813,-0.0006739583025917965,2,1,2,1,3
neutral,Pollen,rg_reliability,3,42;2024;3407,0.9114054240742686,0.00035116533718511215,0.8837209302325582,0.9253906996309984,0.0007007692191430456,-0.002550724484242132,2,1,2,1,5
