true,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,888,0,0,22,0,135,1,22,0,7,0,4,0,0,3
1,1,670,0,0,0,3,0,2,2,1,0,4,0,0,7
2,3,1,0,0,0,342,0,3,0,2,1,2,0,0,0
3,120,0,0,465,0,16,325,10,2,5,2,1,0,0,2
4,2,0,0,0,227,16,0,2,1,1,2,48,0,0,1
5,1,0,0,0,0,1465,0,9,1,1,0,44,0,0,3
6,3,1,0,3,0,362,1,6,1,1,0,13,0,0,5
7,2,1,0,2,0,45,0,1348,2,328,0,17,3,0,3
8,2,1,0,1,0,37,0,17,325,208,0,13,243,0,7
9,3,0,0,0,0,0,0,22,0,238,2,0,0,0,1
10,6,2,0,1,0,45,0,34,0,327,730,5,1,0,2
11,13,27,0,0,0,1414,0,35,2,26,0,1047,0,0,5
12,169,0,0,0,0,290,0,9,0,7,0,3,0,0,0
13,0,23,136,0,0,23,0,5,1,2,0,13,0,139,2
14,5,0,0,30,0,159,1,323,1,87,0,0,0,0,199
