true,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,0,256,0,0,0,7,753,43,4,0,0,0,14,5,0
1,0,5,673,0,0,2,0,7,1,0,0,0,0,2,0
2,0,337,0,0,0,8,2,1,2,1,0,0,0,3,0
3,0,12,0,0,320,1,132,24,5,2,0,0,447,5,0
4,0,58,0,226,0,2,0,9,0,2,0,0,0,3,0
5,0,77,0,0,0,1406,1,33,1,0,0,0,0,6,0
6,0,102,1,0,1,33,2,254,1,0,0,0,1,1,0
7,0,59,1,0,0,15,2,26,314,0,3,0,1,1330,0
8,71,42,1,0,0,10,2,278,198,0,239,0,0,13,0
9,0,2,0,0,0,2,2,2,234,2,0,0,0,22,0
10,0,61,1,0,0,6,4,24,311,725,1,0,1,19,0
11,0,2265,40,0,0,179,4,40,18,0,0,2,0,21,0
12,0,342,0,0,0,3,117,8,4,0,0,0,0,4,0
13,0,22,26,0,0,6,0,8,2,0,0,142,0,2,136
14,0,34,0,0,0,6,5,674,58,0,0,0,4,24,0
