true,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,589,0,2476,4,6,1,0,0,1,0,1,0,3378,1,57
1,0,0,0,2,0,0,0,5,464,0,1,0,0,0,0
2,0,1141,0,1,0,0,0,68,0,0,7,1,0,0,0
3,0,18,0,518,0,0,0,501,8,0,7,2,4,6,0
4,0,42,1,1072,0,0,0,1575,0,0,1,3,3,6,0
5,0,629,2,521,0,0,0,443,86,0,3,2,1,7,0
6,0,0,0,3,0,0,0,6,0,0,2,15,1,799,0
7,0,0,0,1,1,0,1,0,0,0,2,643,1,14,1
8,1,1,1,1,0,0,14,4,0,2,0,2,8,2,0
9,0,0,2,2,0,0,4,0,0,0,25,0,3,0,0
10,0,1,4,1,0,0,580,0,0,0,0,0,3,0,0
11,0,0,0,0,1,0,1,0,0,112,0,0,0,0,0
12,1,25,31,9,0,1,0,30,3,0,585,10,13,9,0
13,1,1,1,0,1848,2,1,0,0,0,1,5,2,0,0
14,0,0,1,0,0,150,1,2,0,0,0,0,0,1,0
