true,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,3396,1,0,2,1,2506,1,0,599,0,0,0,1,6,1
1,0,456,0,2,14,0,0,0,0,0,0,0,0,0,0
2,1,0,1091,0,117,0,0,1,0,0,0,0,8,0,0
3,5,11,14,545,477,0,3,2,0,0,0,0,7,0,0
4,3,0,56,1240,1394,1,5,1,0,0,0,0,3,0,0
5,1,105,546,496,533,2,7,1,0,0,0,0,3,0,0
6,1,0,0,2,17,0,786,17,0,0,0,0,3,0,0
7,2,0,0,0,1,0,14,642,0,0,1,0,3,1,0
8,6,0,1,4,2,1,3,2,1,0,13,3,0,0,0
9,3,0,2,2,1,1,0,22,0,0,4,1,0,0,0
10,3,0,1,1,0,4,0,0,0,0,580,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,1,112,0,1,0
12,12,3,20,10,31,32,11,9,1,0,0,0,587,0,1
13,2,0,1,0,0,1,0,3,1,64,1,0,0,1789,0
14,0,0,0,2,0,1,1,0,0,0,1,0,0,0,150
