dataset,sweep,value,seed,ari,acc,nmi,mean_node_gate,path
Macosko,gate_max,0.05,42,0.3953823233806945,0.5695188359221568,0.6317425832558726,0.02841559424996376,results/formal/rg_phase2_sensitivity_e80/gate_max/Macosko/gate_max_0p05/seed42
Macosko,gate_max,0.1,42,0.5520970350028693,0.7194920549901803,0.6924783438619452,0.05683118849992752,results/formal/rg_phase2_sensitivity_e80/gate_max/Macosko/gate_max_0p1/seed42
Macosko,gate_max,0.15,42,0.3446655686846679,0.5028789501874665,0.601592133253014,0.08524679392576218,results/formal/rg_phase2_sensitivity_e80/gate_max/Macosko/gate_max_0p15/seed42
Macosko,gate_max,0.2,42,0.3695373177080046,0.5436529191215854,0.6009995676753337,0.11366237699985504,results/formal/rg_phase2_sensitivity_e80/gate_max/Macosko/gate_max_0p2/seed42
SRP182008,gate_max,0.05,42,0.448559613923014,0.6288293621429628,0.6078939170796471,0.02802187018096447,results/formal/rg_phase2_sensitivity_e80/gate_max/SRP182008/gate_max_0p05/seed42
SRP182008,gate_max,0.1,42,0.4502794186734164,0.6067041586502886,0.6269853399915944,0.05604374036192894,results/formal/rg_phase2_sensitivity_e80/gate_max/SRP182008/gate_max_0p1/seed42
SRP182008,gate_max,0.15,42,0.36470356973857815,0.572887376054462,0.6057040023724489,0.08406561613082886,results/formal/rg_phase2_sensitivity_e80/gate_max/SRP182008/gate_max_0p15/seed42
SRP182008,gate_max,0.2,42,0.5175433351307301,0.6744857185141335,0.6450282493792179,0.11208748072385788,results/formal/rg_phase2_sensitivity_e80/gate_max/SRP182008/gate_max_0p2/seed42
Wang,gate_max,0.05,42,0.9458684612510618,0.9876037398886438,0.8800099371942489,0.028853563591837883,results/formal/rg_phase2_sensitivity_e80/gate_max/Wang/gate_max_0p05/seed42
Wang,gate_max,0.1,42,0.9436364081059153,0.987078474629688,0.8764542747177129,0.057707127183675766,results/formal/rg_phase2_sensitivity_e80/gate_max/Wang/gate_max_0p1/seed42
Wang,gate_max,0.15,42,0.942741283722221,0.9868683685261057,0.8749763216904289,0.0865606963634491,results/formal/rg_phase2_sensitivity_e80/gate_max/Wang/gate_max_0p15/seed42
Wang,gate_max,0.2,42,0.942741283722221,0.9868683685261057,0.8749763216904289,0.11541425436735153,results/formal/rg_phase2_sensitivity_e80/gate_max/Wang/gate_max_0p2/seed42
