label,n_cells,precision,recall,f1,is_rare_lt_50
0,4426,0.9834605597964376,0.5239493899683687,0.6836674528301887,False
1,54,0.00011535355865728458,0.018518518518518517,0.00022927891780350797,False
2,6285,0.9509301698571043,0.5611774065234686,0.7058234940964578,False
3,1868,0.9612068965517241,0.9550321199143469,0.958109559613319,False
4,85,0.9759036144578314,0.9529411764705882,0.9642857142857143,False
5,432,0.9808153477218226,0.9467592592592593,0.9634864546525324,False
6,252,0.11916110581506197,0.9920634920634921,0.2127659574468085,False
7,67,1.0,0.8955223880597015,0.9448818897637795,False
8,1624,0.945321992709599,0.958128078817734,0.9516819571865444,False
9,63,0.00042265426880811494,0.015873015873015872,0.0008233841086867024,False
10,29400,0.9739789196310935,0.704047619047619,0.8173023770038695,False
11,252,0.782312925170068,0.9126984126984127,0.8424908424908425,False
