true,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,698,0,0,25,0,6,0,12,0,5,0,3,330,0,3
1,0,669,0,0,0,2,0,3,2,1,0,4,4,0,5
2,1,1,0,0,0,9,0,1,0,1,1,2,338,0,0
3,153,1,0,438,0,2,318,6,1,6,2,1,18,0,2
4,0,0,0,0,226,2,0,3,1,0,2,36,28,0,2
5,1,0,0,0,0,1447,0,4,1,1,0,33,33,0,4
6,2,0,0,3,0,77,1,3,0,1,0,13,293,0,3
7,1,0,3,1,0,15,0,1344,3,326,0,19,36,0,3
8,2,1,240,1,0,9,0,15,322,207,0,12,37,0,8
9,0,0,0,0,0,2,0,23,0,237,2,0,2,0,0
10,3,1,1,1,0,8,0,30,0,311,730,5,61,0,2
11,2,25,0,0,0,219,0,25,2,20,0,1028,1233,0,15
12,70,0,0,0,0,4,0,4,0,3,0,2,395,0,0
13,0,22,0,0,0,4,0,1,0,1,0,4,14,165,133
14,4,0,0,31,0,47,1,295,1,87,0,0,139,0,200
