true,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,6,0,0,0,3,25,0,3,0,5,12,0,330,0,698
1,2,0,0,0,5,0,0,4,2,1,3,669,4,0,0
2,9,0,1,0,0,0,0,2,0,1,1,1,338,0,1
3,2,318,2,0,2,438,0,1,1,6,6,1,18,0,153
4,2,0,2,226,2,0,0,36,1,0,3,0,28,0,0
5,1447,0,0,0,4,0,0,33,1,1,4,0,33,0,1
6,77,1,0,0,3,3,0,13,0,1,3,0,293,0,2
7,15,0,0,0,3,1,0,19,3,326,1344,0,36,3,1
8,9,0,0,0,8,1,0,12,322,207,15,1,37,240,2
9,2,0,2,0,0,0,0,0,0,237,23,0,2,0,0
10,8,0,730,0,2,1,0,5,0,311,30,1,61,1,3
11,219,0,0,0,15,0,0,1028,2,20,25,25,1233,0,2
12,4,0,0,0,0,0,0,2,0,3,4,0,395,0,70
13,4,0,0,0,133,0,165,4,0,1,1,22,14,0,0
14,47,1,0,0,200,31,0,0,1,87,295,0,139,0,4
