true,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,3416,1,0,3,1,2497,1,0,587,0,0,0,1,6,1
1,0,464,0,2,6,0,0,0,0,0,0,0,0,0,0
2,1,0,1140,1,68,0,0,1,0,0,0,0,7,0,0
3,6,10,8,499,529,0,4,2,0,0,0,0,6,0,0
4,3,0,19,1114,1556,1,6,3,0,0,0,0,1,0,0
5,1,107,483,500,589,2,7,1,0,0,0,0,4,0,0
6,1,0,0,2,10,0,790,20,0,0,0,0,3,0,0
7,2,0,0,1,0,0,13,646,0,0,1,0,0,1,0
8,6,0,1,1,5,1,3,2,1,0,13,3,0,0,0
9,4,0,2,1,2,0,0,0,0,22,4,1,0,0,0
10,3,0,1,1,0,4,0,0,0,0,580,0,0,0,0
11,0,0,0,0,0,0,0,0,0,1,0,112,0,1,0
12,14,3,22,8,31,31,10,10,1,0,0,0,586,0,1
13,1,0,1,0,0,1,0,5,1,1,1,0,0,1849,2
14,0,0,0,1,1,1,1,0,0,0,1,0,0,0,150
