true,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,0,2510,3,0,6,0,1,1,1,3400,1,591,0,0,0
1,1,0,6,0,0,0,0,0,465,0,0,0,0,0,0
2,1193,0,18,0,0,0,0,0,0,0,6,0,0,1,0
3,15,0,1016,0,0,0,0,4,15,6,6,0,2,0,0
4,70,1,2620,0,0,0,0,6,0,3,1,0,2,0,0
5,667,2,878,0,0,0,0,6,134,1,4,0,1,1,0
6,0,0,8,0,0,0,0,705,0,1,2,0,9,101,0
7,0,0,0,1,1,0,0,10,0,2,1,0,361,288,0
8,1,1,6,13,0,3,0,1,0,6,0,1,2,2,0
9,1,0,2,4,0,1,0,0,0,5,0,0,0,0,23
10,1,4,1,580,0,0,0,0,0,3,0,0,0,0,0
11,0,0,0,0,1,112,0,0,0,0,0,0,0,0,1
12,21,31,35,0,0,0,0,6,3,15,593,1,0,12,0
13,1,1,0,1,1850,0,2,0,0,2,0,0,3,1,1
14,0,1,2,1,0,0,150,1,0,0,0,0,0,0,0
