label,n_cells,precision,recall,f1,is_rare_lt_50
0,6514,0.9872241579558653,0.5219527172244397,0.6828680457923277,False
1,472,0.7524271844660194,0.9851694915254238,0.8532110091743119,False
2,1218,0.6052765093860984,0.9794745484400657,0.7481969269363437,False
3,1064,0.0,0.0,0.0,False
4,2703,0.5701849836779108,0.9692933777284499,0.7180049328583173,False
5,1694,0.0007840062720501764,0.0011806375442739079,0.0009422850412249705,False
6,826,0.9527027027027027,0.8535108958837773,0.9003831417624522,False
7,664,0.95,0.5436746987951807,0.6915708812260536,False
8,36,0.0049261083743842365,0.05555555555555555,0.00904977375565611,True
9,36,0.92,0.6388888888888888,0.7540983606557377,True
10,589,0.9666666666666667,0.9847198641765704,0.975609756097561,False
11,114,0.9655172413793104,0.9824561403508771,0.9739130434782609,False
12,717,0.9657980456026058,0.8270571827057183,0.8910593538692713,False
13,1862,0.9956942949407965,0.9935553168635876,0.9946236559139785,False
14,155,0.9803921568627451,0.967741935483871,0.974025974025974,False
