true,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,796,0,0,0,0,210,3,7,1,9,0,4,0,0,52
1,1,671,0,0,0,4,8,1,2,0,0,3,0,0,0
2,3,1,0,0,0,340,0,3,0,3,1,3,0,0,0
3,177,1,0,330,0,10,2,5,2,5,2,1,0,0,413
4,2,0,0,0,225,25,2,3,2,1,2,38,0,0,0
5,1,0,0,0,0,1460,2,12,2,1,0,46,0,0,0
6,2,1,0,1,0,358,6,1,1,1,0,13,0,0,12
7,3,0,4,0,0,37,4,1338,3,343,1,16,0,0,2
8,3,1,251,0,0,36,9,9,322,202,1,14,0,0,6
9,1,0,0,0,0,0,1,18,0,244,2,0,0,0,0
10,4,1,1,0,0,45,1,23,0,332,737,4,0,0,5
11,9,30,0,0,0,1417,5,29,3,35,0,1040,0,0,1
12,154,0,0,0,0,304,0,7,0,10,0,2,0,0,1
13,0,27,0,0,0,25,2,4,1,2,0,13,133,137,0
14,6,1,0,1,0,164,199,54,1,84,0,0,0,0,295
