label,n_cells,precision,recall,f1,is_rare_lt_50
0,1082,0.685025817555938,0.7356746765249538,0.7094474153297683,False
1,690,0.9141689373297003,0.972463768115942,0.9424157303370787,False
2,354,0.0,0.0,0.0,False
3,948,0.9939759036144579,0.34810126582278483,0.515625,False
4,300,1.0,0.75,0.8571428571428571,False
5,1524,0.32919954904171367,0.958005249343832,0.4900151032052358,False
6,396,0.02459016393442623,0.015151515151515152,0.01875,False
7,1751,0.8837516512549538,0.7641347801256425,0.8196018376722818,False
8,854,0.9470588235294117,0.3770491803278688,0.5393634840871022,False
9,266,0.1918238993710692,0.9172932330827067,0.31729518855656696,False
10,1153,0.9879356568364611,0.6392020815264527,0.7761979989468141,False
11,2569,0.8688387635756056,0.4048267808485792,0.5523101433882103,False
12,478,0.0,0.0,0.0,False
13,344,1.0,0.39825581395348836,0.5696465696465697,False
14,805,0.3748411689961881,0.36645962732919257,0.3706030150753769,False
