true,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,0,20,8,0,3,0,5,341,0,0,681,0,20,4,0
1,0,0,2,0,5,0,2,3,671,0,0,0,6,1,0
2,0,0,11,0,2,1,1,336,1,0,1,0,0,1,0
3,312,440,2,0,1,2,5,13,1,0,153,0,16,3,0
4,0,0,1,0,40,2,3,19,0,225,0,0,10,0,0
5,0,0,1446,0,35,0,5,23,0,0,1,0,13,1,0
6,1,1,64,0,14,0,1,112,0,0,2,0,200,1,0
7,0,1,15,0,18,0,1331,36,0,0,1,2,22,325,0
8,0,0,12,0,14,0,14,26,1,0,2,237,274,204,70
9,0,0,1,0,0,2,21,2,0,0,0,0,2,238,0
10,0,1,7,0,4,724,20,65,1,0,2,1,24,304,0
11,0,0,275,0,1003,0,24,1193,26,0,2,0,25,21,0
12,0,0,3,0,1,0,4,389,0,0,69,0,10,2,0
13,0,0,6,191,93,0,3,12,29,0,0,0,8,2,0
14,0,5,5,0,0,0,23,88,0,0,3,0,622,59,0
